Month,Airline,DelayType,DelayValue
6,Envoy Air,LateAircraftDelay,6.99
6,SkyWest ,CarrierDelay,4.56
6,SkyWest ,WeatherDelay,0.95
6,SkyWest ,NASDelay,4.86
6,SkyWest ,SecurityDelay,0
6,SkyWest ,LateAircraftDelay,7.86
6,Virgin America,CarrierDelay,3.23
6,Virgin America,WeatherDelay,0.57
6,Virgin America,NASDelay,4.98
6,Virgin America,SecurityDelay,0.1
6,Virgin America,LateAircraftDelay,5.6
6,Southwest ,CarrierDelay,3.82
6,Southwest ,WeatherDelay,0.62
6,Southwest ,NASDelay,1.94
6,Southwest ,SecurityDelay,0.03
6,Southwest ,LateAircraftDelay,6.8
6,Delta ,CarrierDelay,4.15
6,Delta ,WeatherDelay,0.92
6,Delta ,NASDelay,3.17
6,Delta ,SecurityDelay,0.01
6,Delta ,LateAircraftDelay,4
6,Jetblue ,CarrierDelay,5.68
6,Jetblue ,WeatherDelay,0.68
6,Jetblue ,NASDelay,5.15
6,Jetblue ,SecurityDelay,0.03
6,Jetblue ,LateAircraftDelay,8.58
6,Frontier ,CarrierDelay,5.28
6,Frontier ,WeatherDelay,0.34
6,Frontier ,NASDelay,6.67
6,Frontier ,LateAircraftDelay,10.59
6,Hawaiian ,CarrierDelay,2.72
6,Hawaiian ,WeatherDelay,0.04
6,Hawaiian ,NASDelay,0.06
6,Hawaiian ,SecurityDelay,0.07
6,Hawaiian ,LateAircraftDelay,1.17
6,American ,CarrierDelay,5.51
6,American ,WeatherDelay,1.04
6,American ,NASDelay,3.86
6,American ,SecurityDelay,0.03
6,American ,LateAircraftDelay,7.08
6,Alaska ,CarrierDelay,2.26
6,Alaska ,WeatherDelay,0.19
6,Alaska ,NASDelay,2.5
6,Alaska ,SecurityDelay,0.04
6,Alaska ,LateAircraftDelay,2.39
7,American ,CarrierDelay,5.24
7,American ,WeatherDelay,1.05
7,American ,NASDelay,3.74
7,American ,SecurityDelay,0.03
7,American ,LateAircraftDelay,6.7
7,Alaska ,CarrierDelay,2.29
7,Alaska ,WeatherDelay,0.19
7,Alaska ,NASDelay,2.32
7,Alaska ,SecurityDelay,0.03
7,Alaska ,LateAircraftDelay,2.23
7,Jetblue ,CarrierDelay,6.53
7,Jetblue ,WeatherDelay,0.95
7,Jetblue ,NASDelay,5.81
7,Jetblue ,SecurityDelay,0.03
7,Jetblue ,LateAircraftDelay,9.89
7,Delta ,CarrierDelay,4.26
7,Delta ,WeatherDelay,0.86
7,Delta ,NASDelay,3.37
7,Delta ,SecurityDelay,0.01
7,Delta ,LateAircraftDelay,3.98
7,Hawaiian ,CarrierDelay,2.57
7,Hawaiian ,WeatherDelay,0.07
7,Hawaiian ,NASDelay,0.08
7,Hawaiian ,SecurityDelay,0.01
7,Hawaiian ,LateAircraftDelay,1.25
7,Express Jet ,CarrierDelay,6.23
7,Express Jet ,WeatherDelay,0.4
7,Express Jet ,NASDelay,4.73
7,Express Jet ,LateAircraftDelay,6.26
7,Envoy Air,CarrierDelay,3.39
7,Envoy Air,WeatherDelay,1.06
