origin,dest
DFW, ABI ABQ ACT AEX AGS AMA ANC ASE ATL AUS AVL BDL BFL BHM BIL BIS BKG BMI BNA BOI BOS BPT BRO BTR BUF BUR BWI BZN CAE CHA CHS CID CLE CLL CLT CMH CMI COS COU CRP CRW CVG CYS DAY DCA DEN DRO DRT DSM DTW ECP EGE ELP EUG EVV EWR EYW FAR FAT FCA FLG FLL FSD FSM FWA GCK GEG GGG GJT GNV GPT GRI GRK GRR GSO GSP GUC HDN HNL HOU HRL HSV IAD IAH ICT ILM IND JAC JAN JAX JFK JLN KOA LAS LAW LAX LBB LCH LEX LFT LGA LIH LIT LRD MAF MCI MCO MDT MEI MEM MFE MGM MHK MIA MKE MLI MLU MOB MRY MSN MSO MSP MSY MTJ MYR OAK OGG OKC OMA ONT ORD ORF PBI PDX PHL PHX PIA PIB PIT PNS PSP RAP RDU RIC RNO ROW RSW SAF SAN SAT SAV SBA SBN SBP SDF SEA SFO SGF SGU SHV SJC SJT SJU SLC SMF SNA SPI SPS SRQ STL STS STT SUX SWO TLH TPA TRI TUL TUS TVC TXK TYR TYS VPS XNA YUM
DHN, ATL
DIK, DEN MSP
DLG, ANC
DLH, MSP ORD
DRO, DEN DFW IAH LAX ORD PHX
DRT, DFW
DSM, ATL AZA CID CLT DCA DEN DFW DTW EWR IAH LAS LAX LGA LIT MCO MDW MSP OKC ORD PGD PHL PHX PIA PIE SFB SFO SLC SRQ STL VPS
DTW, ABE ACY ALB APN ATL ATW AUS AVL AVP AZO BDL BGM BGR BHM BMI BNA BOS BTV BUF BWI BZN CAK CHA CHS CID CIU CLE CLT CMH CRW CVG CWA DAL DAY DCA DEN DFW DSM ELM ERI ESC EVV EWR FLL FWA GRB GRR GSO GSP HNL HPN HSV IAD IAH ILM IMT IND ISP ITH JAX JFK LAN LAS LAX LEX LGA LIT LSE MBS MCI MCO MDT MDW MEM MHT MIA MKE MLI MQT MSN MSP MSY MYR OAK OKC OMA ORD ORF ORH PBI PDX PHL PHX PIA PIT PLN PVD PWM RDU RIC ROC RST RSW SAN SAT SAV SBN SCE SDF SEA SFO SJC SJU SLC SMF SNA SRQ STL SWF SYR TPA TTN TUL TUS TVC TYS
DVL, DEN JMS
EAR, DEN ORD
EAU, ORD
ECP, ATL AUS BNA BWI CLT DAL DEN DFW HOU IAH MCI MDW ORD STL
EFD, IAH
EGE, ATL DEN DFW EWR IAD IAH JFK LAX LGA MIA MSP ORD PHL PHX SFO SLC
EKO, SLC
ELM, ATL DTW ORD PGD PIE SFB
ELP, ATL AUS DAL DEN DFW HOU IAH LAS LAX OKC ORD PHX SAN SAT SFB SJC SLC
ENV, EKO
ERI, DTW ITH ORD
ESC, DTW MQT
EUG, AZA BOI DEN DFW LAS LAX OAK OKC ORD OTH PHX SAN SEA SFO SGU SLC TUS
EVV, ATL CLT DFW DTW ORD SFB VPS
EWN, ATL CLT
EWR, ALB ANC ATL AUS AVL AVP BDL BGR BNA BOS BQN BTV BUF BWI BZN CAK CHA CHS CLE CLT CMH CVG DAY DCA DEN DFW DSM DTW EGE EYW FLL FNT FWA GRR GSO GSP HDN HHH HNL HOU IAD IAH IND JAC JAX JFK LAS LAX LEX MCI MCO MDW MEM MHT MIA MKE MSN MSP MSY MTJ MYR OAK OKC OMA ORD ORF PBI PDX PHL PHX PIT PNS PSP PVD PWM RAP RDU RIC ROC RSW SAN SAT SAV SBN SDF SEA SFO SJC SJU SLC SMF SNA SRQ STL STT SYR TPA TUL TVC TYS VPS XNA
EYW, ATL CLT DCA DFW EWR LGA MIA ORD PHL RSW
FAI, ANC DEN MSP ORD SCC SEA SFO
FAR, ATL AZA DEN DFW GFK JMS LAS LAX MSP ORD PHX SFB SLC
FAT, DEN DFW LAS LAX MRY ORD PDX PHX SAN SEA SFO SLC STS
FAY, ATL CLT
FCA, ATL AZA DEN DFW LAS LAX MSO MSP OAK ORD SFO SLC
FLG, DFW LAX PHX
FLL, ABE ACY ALB ATL AUS AVL BDL BHM BLV BNA BOS BQN BUF BWI CAK CHS CLE CLT CMH CVG DAL DCA DEN DFW DTW EWR FNT GRR GSO GSP HDN HOU HPN IAD IAG IAH IND ISP JAX JFK LAS LAX LBE LCK LEX LGA LGB MCI MCO MDW MEM MHT MKE MSP MSY MYR OKC ORD ORF ORH PBG PHL PHX PIT PVD RDU RIC RSW SAN SAT SDF SEA SFO SJU SLC STL STT STX SWF SYR TPA TTN TYS USA
FLO, CLT
FNT, ATL BWI CLT EWR FLL LAS MCO MDW MSP MYR ORD PGD PIE RSW SFB SRQ TPA
FSD, ATL AZA DEN DFW DVL LAR LAS LAX LNK MSP ORD PGD PHX PIE SFB
FSM, ATL DFW
FWA, ATL AZA BNA CLT DFW DTW EWR MSP MYR ORD PGD PIE SFB SRQ
GCC, CPR DEN RAP RKS SLC
GCK, DFW HYS
GEG, ANC BOI BZN DEN DFW LAS LAX LWS MDW MHK MSP OAK ORD PDX PHX SAN SEA SFO SJC SLC SMF
GFK, AZA ISN LAS MSP SFB
GGG, DFW
GJT, ASE ATL AZA DEN DFW IAH LAS LAX ORD PHX SFO SLC
GNV, ATL CLT DFW MIA
GPT, ATL CLT DFW IAH SFB VPS
GRB, ATL ATW CMX DEN DTW IAD MCO MQT MSP MSY ORD
GRI, AZA DFW LAS
GRK, ATL DFW IAH MEI
GRR, ATL AZA AZO BNA BWI CLT CVG DCA DEN DFW DTW EWR FLL FNT IAD IAH JAX LAS LGA MCO MDW MIA MSP MSY ORD PGD PHL PHX PIE RSW SAV SFB SRQ STL TPA
GSO, ATL CLT CRW DCA DEN DFW DTW EWR FLL IAD IAH LGA MCO MIA ORD PHL PIE ROA SFB TPA
GSP, ATL BOS BWI CLT DAL DCA DEN DFW DTW EWR FLL FWA HOU IAD IAH LAS LGA MCO MDW MIA ORD PGD PHL PIE RIC SFB SFO SJC TPA
GST, JNU
GTF, AZA BZN DEN LAS MSP ORD SEA SLC
GTR, ATL
GUC, DEN DFW IAH ORD
GUM, HNL SPN
HDN, ATL BOS DEN DFW EWR FLL IAD IAH LAX LGB MSP ORD SAN SEA SFO
HGR, MYR PIE SFB
HHH, ATL CLT DCA EWR IAD LGA ORD
HIB, DLH INL MSP
HLN, BTM BZN DEN GTF MSP SLC
HNL, ANC ATL BLI BOS DEN DFW DTW EWR GUM IAD IAH ITO JFK KOA LAS LAX LGB LIH MSP OAK OGG ORD PDX PHX PPG SAN SEA SFO SJC SLC SMF
HOB, DEN IAH
HOU, ABQ AMA ATL AUS BHM BNA BOS BUR BWI CHS CLT CMH CRP DAL DCA DEN DFW ECP ELP EWR FLL GSP HOB HRL IND JAX JFK LAS LAX LBB LGA MAF MCI MCO MDW MEM MIA MKE MSY OAK OKC OMA PDX PHL PHX PIT PNS PVD RDU RSW SAN SAT SDF SEA SJC SJU SLC SMF SNA STL TPA TUL TUS
HPN, ACK ATL CLT DCA DTW FLL MCO ORD PBI RSW TPA
HRL, AUS DAL DEN DFW HOU IAH MSP ORD
HSV, ATL CLT DCA DEN DFW DTW IAD IAH MCO ORD SHV
HTS, CLT MYR PGD PIE SFB VPS
HVN, CLT PHL
HYA, JFK
HYS, DEN LNK SLN
IAD, ALB ATL AUS AVL AVP BDL BNA BOS BTV BUF CAE CHA CHO CHS CKB CLE CLT CMH COS CVG DAY DEN DFW DTW EGE EWR FLL GRR GSO GSP HDN HHH HNL HSV IAH ILM IND JAC JAX JFK LAS LAX LEX LGA LWB MCI MCO MDT MDW MEM MHT MIA MSN MSP MSY OGS OKC ORD ORF PBG PBI PDX PHL PHX PIT PVD PWM RDU RIC ROA ROC RSW SAN SAT SAV SCE SDF SEA SFO SHD SJU SLC SMF SRQ STL STT SYR TPA TTN TUL TVC TYS UST
IAG, FLL MCO MYR PGD PIE SAV SFB
