Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
ADQ,29.0,53.0,83.0,113.0,173.0,227.0,282.0,335.0,382.0,410.0,439.0,465.0,504.0,538.0,569.0,600.0,650.0,706.0,761.0,819.0,874.0,928.0,962.0,988.0,1028.0,1062.0,1108.0,1162.0,1220.0,1274.0,1328.0,1380.0,1433.0,1489.0,1537.0,1583.0,1631.0,1675.0,1728.0,1778.0,1832.0,1886.0,1943.0,1999.0,2050.0,2103.0,2152.0,2201.0,2254.0,2301.0,2353.0,2405.0,2463.0,2516.0,2571.0,2627.0,2677.0,2722.0,2768.0,2814.0
AEX,281.0,521.0,807.0,1088.0,1370.0,1655.0,1949.0,2241.0,2506.0,2784.0,3055.0,3332.0,3538.0,3744.0,3959.0,4169.0,4402.0,4652.0,4884.0,5138.0,5376.0,5626.0,5885.0,6140.0,6385.0,6625.0,6914.0,7117.0,7335.0,7455.0,7566.0,7646.0,7707.0,7786.0,7865.0,7933.0,8187.0,8434.0,8724.0,9007.0,9306.0,9596.0,9876.0,10175.0,10448.0,10739.0,11009.0,11275.0,11529.0,11768.0,12050.0,12323.0,12598.0,12844.0,13100.0,13364.0,13636.0,13925.0,14202.0,14481.0
AGS,200.0,374.0,601.0,827.0,1051.0,1267.0,1488.0,1703.0,1917.0,2140.0,2353.0,2568.0,2763.0,2935.0,3170.0,3408.0,3641.0,3863.0,4085.0,4312.0,4552.0,4780.0,4988.0,5192.0,5379.0,5558.0,5767.0,5991.0,6221.0,6387.0,6572.0,6746.0,6939.0,7048.0,7156.0,7291.0,7569.0,7866.0,8280.0,8749.0,9161.0,9537.0,9908.0,10309.0,10692.0,11071.0,11413.0,11739.0,12077.0,12387.0,12814.0,13295.0,13705.0,14094.0,14490.0,14888.0,15274.0,15685.0,16063.0,16450.0
AKN,0.0,0.0,0.0,0.0,0.0,24.0,55.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,89.0,120.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0,153.0,184.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,217.0,248.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,276.0,307.0,312.0,312.0,312.0,312.0,312.0
ALB,547.0,1067.0,1733.0,2410.0,3103.0,3728.0,4437.0,5160.0,5849.0,6580.0,7289.0,8053.0,8787.0,9451.0,10282.0,11071.0,11954.0,12760.0,13536.0,14285.0,15022.0,15792.0,16561.0,17289.0,18043.0,18726.0,19519.0,20328.0,21072.0,21841.0,22644.0,23495.0,24249.0,25024.0,25784.0,26525.0,27525.0,28464.0,29601.0,30653.0,31781.0,32774.0,33768.0,34701.0,35597.0,36647.0,37623.0,38585.0,39469.0,40320.0,41437.0,42474.0,43581.0,44685.0,45831.0,46967.0,47931.0,48973.0,49926.0,50832.0
ALO,49.0,94.0,150.0,204.0,259.0,311.0,369.0,424.0,475.0,532.0,583.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,638.0,687.0,744.0,800.0,854.0,911.0,966.0,1023.0,1078.0,1105.0,1161.0,1208.0,1264.0,1320.0,1376.0,1426.0,1480.0,1536.0,1590.0,1648.0,1700.0,1758.0,1805.0,1846.0,1907.0,1965.0,2027.0,2086.0,2145.0,2204.0,2257.0,2315.0,2369.0,2426.0
AMA,505.0,923.0,1386.0,1725.0,2052.0,2521.0,2972.0,3288.0,3576.0,3880.0,4138.0,4378.0,4618.0,4842.0,5093.0,5313.0,5565.0,5810.0,6065.0,6330.0,6584.0,6892.0,7156.0,7405.0,7648.0,7883.0,8123.0,8368.0,8632.0,8861.0,9096.0,9328.0,9567.0,9840.0,10102.0,10379.0,10779.0,11135.0,11542.0,11968.0,12435.0,12891.0,13352.0,13837.0,14289.0,14744.0,15193.0,15625.0,16041.0,16411.0,16837.0,17258.0,17691.0,18103.0,18535.0,18969.0,19389.0,19828.0,20249.0,20646.0
ANC,1164.0,2164.0,3362.0,4526.0,6017.0,7888.0,9956.0,11940.0,13415.0,14640.0,15806.0,17043.0,18259.0,19360.0,20560.0,21717.0,23175.0,25126.0,27232.0,29236.0,30622.0,31807.0,32919.0,34158.0,35351.0,36377.0,37589.0,38785.0,40204.0,42142.0,44209.0,46180.0,47611.0,48840.0,49978.0,51200.0,52389.0,53429.0,54744.0,56032.0,57525.0,59586.0,61819.0,63937.0,65495.0,66836.0,68101.0,69429.0,70719.0,71848.0,73197.0,74524.0,76086.0,78167.0,80465.0,82647.0,84244.0,85562.0,86825.0,88191.0
APN,49.0,92.0,144.0,195.0,245.0,296.0,348.0,399.0,448.0,498.0,547.0,596.0,644.0,691.0,740.0,789.0,842.0,894.0,956.0,1013.0,1065.0,1116.0,1169.0,1217.0,1259.0,1301.0,1350.0,1400.0,1452.0,1503.0,1553.0,1606.0,1657.0,1707.0,1757.0,1806.0,1851.0,1896.0,1949.0,1992.0,2043.0,2095.0,2146.0,2200.0,2251.0,2304.0,2353.0,2406.0,2454.0,2488.0,2540.0,2589.0,2643.0,2694.0,2747.0,2799.0,2850.0,2903.0,2953.0,3002.0
ART,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,71.0,113.0,171.0,228.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0
ASE,588.0,1134.0,1840.0,2020.0,2054.0,2274.0,2517.0,2728.0,2843.0,2901.0,2933.0,3321.0,3899.0,4500.0,5141.0,5346.0,5465.0,5752.0,6182.0,6582.0,6850.0,7049.0,7169.0,7668.0,8271.0,8872.0,9618.0,9786.0,9924.0,10300.0,10798.0,11274.0,11603.0,11820.0,12003.0,12592.0,13510.0,14300.0,15316.0,15704.0,15948.0,16440.0,16895.0,17424.0,17795.0,18071.0,18320.0,18987.0,19808.0,20535.0,21374.0,21641.0,21871.0,22369.0,22981.0,23557.0,23947.0,24208.0,24394.0,25014.0
ATL,29197.0,55556.0,87961.0,119159.0,151319.0,183656.0,217240.0,250783.0,282046.0,314555.0,345343.0,376015.0,405428.0,433918.0,466673.0,498735.0,532022.0,565085.0,598671.0,632025.0,663465.0,695941.0,726848.0,757318.0,786735.0,814206.0,846414.0,876055.0,908074.0,939925.0,971962.0,1003593.0,1031109.0,1060895.0,1089090.0,1115855.0,1145547.0,1173480.0,1206840.0,1239379.0,1273054.0,1306581.0,1341011.0,1375853.0,1407127.0,1440107.0,1471211.0,1502441.0,1533224.0,1561160.0,1594912.0,1627518.0,1661655.0,1695527.0,1730505.0,1765663.0,1797331.0,1830854.0,1861968.0,1894142.0
ATW,222.0,422.0,700.0,952.0,1247.0,1452.0,1764.0,2057.0,2297.0,2556.0,2798.0,3018.0,3281.0,3518.0,3799.0,4120.0,4387.0,4645.0,4861.0,5109.0,5416.0,5792.0,6086.0,6325.0,6524.0,6670.0,6816.0,7005.0,7206.0,7479.0,7823.0,8147.0,8379.0,8630.0,8838.0,8976.0,9287.0,9570.0,9924.0,10279.0,10691.0,11045.0,11420.0,11819.0,12108.0,12439.0,12753.0,13105.0,13481.0,13794.0,14163.0,14511.0,14889.0,15244.0,15621.0,15975.0,16271.0,16608.0,16976.0,17333.0
ATY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,99.0,154.0,212.0,269.0,329.0,386.0,441.0,496.0
AUS,3316.0,6292.0,9971.0,13679.0,17560.0,21555.0,25820.0,29956.0,33745.0,37616.0,41428.0,45263.0,48798.0,52101.0,56028.0,59836.0,63671.0,67529.0,71581.0,75620.0,79445.0,83456.0,87291.0,91089.0,94783.0,98138.0,102238.0,106438.0,110973.0,115463.0,120057.0,124587.0,128851.0,133529.0,138043.0,142616.0,147199.0,151429.0,156530.0,161783.0,167313.0,172885.0,178593.0,184223.0,189389.0,194901.0,200077.0,205130.0,210009.0,214598.0,220055.0,225392.0,231033.0,236724.0,242678.0,248491.0,253961.0,259856.0,265314.0,270876.0
AVL,205.0,379.0,613.0,831.0,1041.0,1349.0,1680.0,1989.0,2267.0,2546.0,2754.0,2952.0,3145.0,3316.0,3584.0,3855.0,4119.0,4451.0,4796.0,5118.0,5424.0,5774.0,6034.0,6282.0,6485.0,6680.0,6977.0,7279.0,7601.0,7940.0,8314.0,8660.0,8997.0,9338.0,9563.0,9802.0,10269.0,10694.0,11245.0,11777.0,12384.0,13058.0,13800.0,14512.0,15176.0,15932.0,16641.0,17297.0,17891.0,18466.0,19211.0,19942.0,20747.0,21585.0,22428.0,23305.0,24111.0,25020.0,25824.0,26652.0
AVP,115.0,199.0,289.0,428.0,583.0,691.0,833.0,951.0,1061.0,1173.0,1326.0,1438.0,1584.0,1703.0,1822.0,1890.0,2055.0,2165.0,2323.0,2491.0,2655.0,2832.0,2980.0,3065.0,3160.0,3260.0,3361.0,3442.0,3548.0,3678.0,3829.0,3994.0,4196.0,4423.0,4637.0,4778.0,5019.0,5238.0,5497.0,5778.0,6092.0,6363.0,6646.0,6949.0,7246.0,7559.0,7796.0,8021.0,8242.0,8453.0,8739.0,9037.0,9366.0,9660.0,9944.0,10257.0,10582.0,10920.0,11238.0,11515.0
AZA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,884.0,1492.0,1926.0,2326.0,2771.0,3209.0,3574.0,3888.0,4310.0,4743.0,5198.0,5649.0,6141.0,6829.0,7374.0,7797.0,8269.0,8765.0,9130.0,9433.0,9875.0,10328.0,10863.0
AZO,192.0,320.0,506.0,649.0,781.0,932.0,1056.0,1192.0,1350.0,1470.0,1651.0,1863.0,2066.0,2254.0,2458.0,2665.0,2804.0,2938.0,3079.0,3245.0,3379.0,3577.0,3750.0,3877.0,4016.0,4206.0,4487.0,4707.0,4953.0,5209.0,5433.0,5658.0,5850.0,5977.0,6093.0,6174.0,6386.0,6563.0,6785.0,6989.0,7202.0,7432.0,7702.0,7984.0,8239.0,8478.0,8711.0,8897.0,9027.0,9144.0,9309.0,9482.0,9642.0,9710.0,9896.0,10094.0,10348.0,10575.0,10816.0,11060.0
BDL,1573.0,2909.0,4591.0,6274.0,8080.0,9841.0,11668.0,13399.0,14952.0,16657.0,18392.0,20080.0,21557.0,22964.0,24577.0,26274.0,28061.0,29806.0,31542.0,33207.0,34791.0,36502.0,38354.0,40142.0,41856.0,43346.0,45074.0,46893.0,48809.0,50690.0,52641.0,54627.0,56344.0,58204.0,60034.0,61883.0,64071.0,66119.0,68301.0,70621.0,73006.0,75259.0,77611.0,79996.0,82208.0,84631.0,87045.0,89476.0,91753.0,93859.0,96400.0,98939.0,101487.0,103781.0,106074.0,108402.0,110584.0,112883.0,115217.0,117557.0
BET,80.0,155.0,238.0,319.0,401.0,482.0,567.0,649.0,730.0,814.0,889.0,964.0,1045.0,1123.0,1199.0,1280.0,1360.0,1440.0,1520.0,1602.0,1680.0,1763.0,1841.0,1921.0,1998.0,2070.0,2154.0,2234.0,2319.0,2399.0,2477.0,2560.0,2636.0,2718.0,2787.0,2854.0,2925.0,2989.0,3056.0,3125.0,3194.0,3259.0,3327.0,3398.0,3466.0,3533.0,3595.0,3664.0,3730.0,3789.0,3858.0,3924.0,3995.0,4062.0,4132.0,4200.0,4269.0,4338.0,4400.0,4466.0
BFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,49.0,102.0,153.0,207.0,257.0,309.0,363.0,413.0,467.0,520.0,570.0,621.0,667.0,710.0,760.0,812.0,860.0,913.0,965.0,1016.0,1068.0,1115.0,1166.0
BFL,225.0,426.0,665.0,923.0,1186.0,1446.0,1698.0,1934.0,2129.0,2312.0,2546.0,2770.0,2953.0,3143.0,3376.0,3600.0,3832.0,4058.0,4286.0,4518.0,4741.0,4968.0,5168.0,5342.0,5517.0,5665.0,5820.0,5988.0,6164.0,6367.0,6571.0,6777.0,6964.0,7162.0,7353.0,7495.0,7664.0,7821.0,8000.0,8202.0,8407.0,8611.0,8818.0,9018.0,9208.0,9412.0,9605.0,9788.0,9966.0,10122.0,10330.0,10536.0,10747.0,10945.0,11153.0,11363.0,11566.0,11781.0,11980.0,12206.0
BFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,61.0,82.0,101.0,122.0,138.0,150.0
BGM,0.0,36.0,36.0,36.0,36.0,79.0,140.0,169.0,169.0,231.0,259.0,321.0,396.0,477.0,565.0,649.0,734.0,820.0,919.0,973.0,1029.0,1085.0,1138.0,1193.0,1247.0,1298.0,1373.0,1456.0,1457.0,1531.0,1616.0,1703.0,1786.0,1873.0,1957.0,2036.0,2091.0,2140.0,2221.0,2307.0,2395.0,2470.0,2541.0,2626.0,2711.0,2800.0,2881.0,2945.0,2999.0,3049.0,3136.0,3221.0,3310.0,3394.0,3461.0,3549.0,3635.0,3724.0,3806.0,3886.0
BGR,0.0,19.0,20.0,20.0,78.0,122.0,188.0,264.0,306.0,333.0,366.0,390.0,396.0,396.0,397.0,427.0,463.0,542.0,656.0,778.0,894.0,954.0,984.0,984.0,984.0,984.0,1002.0,1002.0,1048.0,1163.0,1296.0,1434.0,1529.0,1612.0,1671.0,1728.0,1948.0,2198.0,2489.0,2757.0,3064.0,3474.0,3900.0,4330.0,4761.0,5168.0,5441.0,5624.0,5800.0,6000.0,6258.0,6510.0,6826.0,7167.0,7560.0,8001.0,8375.0,8742.0,9040.0,9265.0
BHM,1130.0,2142.0,3323.0,4391.0,5521.0,6703.0,7885.0,9042.0,10143.0,11282.0,12385.0,13421.0,14294.0,15187.0,16256.0,17285.0,18359.0,19383.0,20402.0,21434.0,22455.0,23518.0,24529.0,25538.0,26425.0,27244.0,28237.0,29124.0,30106.0,31042.0,32009.0,32991.0,33936.0,34945.0,35900.0,36893.0,38249.0,39460.0,40921.0,42381.0,43916.0,45402.0,46982.0,48557.0,50066.0,51709.0,53303.0,54804.0,56190.0,57440.0,58990.0,60491.0,62149.0,63827.0,65587.0,67327.0,68960.0,70684.0,72255.0,73808.0
BIL,217.0,426.0,675.0,898.0,1146.0,1424.0,1759.0,2090.0,2333.0,2596.0,2847.0,3114.0,3395.0,3659.0,3957.0,4201.0,4446.0,4739.0,5068.0,5382.0,5625.0,5913.0,6188.0,6485.0,6721.0,6940.0,7212.0,7469.0,7732.0,8015.0,8368.0,8710.0,8987.0,9254.0,9515.0,9803.0,10145.0,10459.0,10800.0,11115.0,11448.0,11801.0,12290.0,12733.0,13010.0,13318.0,13596.0,13920.0,14181.0,14424.0,14719.0,15008.0,15304.0,15738.0,16231.0,16668.0,16992.0,17303.0,17593.0,17947.0
BIS,301.0,568.0,861.0,1153.0,1468.0,1786.0,2140.0,2489.0,2789.0,3126.0,3421.0,3719.0,3924.0,4092.0,4312.0,4562.0,4759.0,4988.0,5198.0,5388.0,5590.0,5758.0,5903.0,6047.0,6155.0,6266.0,6381.0,6542.0,6772.0,6977.0,7188.0,7444.0,7686.0,7934.0,8112.0,8280.0,8533.0,8772.0,9071.0,9396.0,9699.0,10034.0,10382.0,10737.0,11051.0,11344.0,11596.0,11878.0,12157.0,12414.0,12799.0,13185.0,13568.0,13939.0,14316.0,14689.0,15021.0,15388.0,15689.0,16041.0
BJI,61.0,117.0,178.0,238.0,300.0,360.0,421.0,483.0,543.0,605.0,664.0,726.0,788.0,845.0,906.0,966.0,1028.0,1088.0,1150.0,1212.0,1272.0,1334.0,1392.0,1452.0,1514.0,1570.0,1632.0,1692.0,1754.0,1814.0,1876.0,1937.0,1997.0,2059.0,2117.0,2177.0,2238.0,2294.0,2355.0,2414.0,2475.0,2535.0,2603.0,2670.0,2730.0,2792.0,2852.0,2914.0,2974.0,3029.0,3090.0,3148.0,3210.0,3270.0,3340.0,3408.0,3468.0,3530.0,3588.0,3648.0
BKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,31.0,48.0,62.0,68.0,68.0,68.0,68.0,68.0,76.0,107.0,140.0,175.0,206.0,239.0,274.0,289.0,289.0
BLI,93.0,175.0,281.0,374.0,466.0,485.0,485.0,515.0,515.0,515.0,603.0,704.0,798.0,881.0,983.0,1070.0,1158.0,1170.0,1170.0,1170.0,1170.0,1170.0,1230.0,1300.0,1376.0,1439.0,1516.0,1577.0,1639.0,1645.0,1645.0,1645.0,1645.0,1789.0,1894.0,2000.0,2217.0,2429.0,2700.0,2932.0,3152.0,3318.0,3463.0,3604.0,3718.0,3846.0,4014.0,4203.0,4388.0,4559.0,4792.0,4960.0,5099.0,5247.0,5406.0,5554.0,5656.0,5779.0,5898.0,6027.0
BLV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,145.0,236.0,321.0,421.0,544.0,678.0,763.0,819.0,883.0,945.0,1009.0,1067.0,1129.0,1225.0,1305.0,1400.0,1538.0,1679.0,1767.0,1821.0,1882.0,1943.0,2017.0
BMI,231.0,443.0,701.0,926.0,1151.0,1411.0,1664.0,1915.0,2160.0,2397.0,2613.0,2857.0,2947.0,3023.0,3116.0,3251.0,3396.0,3532.0,3690.0,3833.0,3967.0,4112.0,4241.0,4357.0,4465.0,4568.0,4733.0,4941.0,5168.0,5393.0,5612.0,5812.0,5974.0,6161.0,6338.0,6460.0,6698.0,6907.0,7164.0,7429.0,7700.0,7964.0,8229.0,8499.0,8747.0,9025.0,9283.0,9531.0,9741.0,9938.0,10168.0,10417.0,10688.0,10948.0,11215.0,11492.0,11737.0,12006.0,12247.0,12514.0
BNA,3996.0,7241.0,11534.0,15753.0,20080.0,24542.0,29219.0,33726.0,37978.0,42428.0,46654.0,50821.0,54547.0,58143.0,62307.0,66322.0,70567.0,75152.0,79662.0,84193.0,88604.0,93174.0,97512.0,101795.0,105967.0,109756.0,114232.0,118506.0,122976.0,127685.0,132543.0,137358.0,141853.0,146846.0,151544.0,156206.0,161709.0,166736.0,172669.0,178631.0,184779.0,190966.0,197322.0,203747.0,210034.0,216804.0,223081.0,229202.0,235213.0,240759.0,247533.0,254280.0,261225.0,268173.0,275310.0,282329.0,289200.0,296687.0,303493.0,310280.0
BOI,915.0,1743.0,2702.0,3615.0,4664.0,5789.0,6972.0,8134.0,9198.0,10354.0,11499.0,12680.0,13839.0,14968.0,16116.0,17206.0,18382.0,19654.0,20982.0,22305.0,23529.0,24793.0,25982.0,27250.0,28443.0,29534.0,30793.0,31970.0,33203.0,34535.0,35936.0,37361.0,38713.0,40142.0,41591.0,43030.0,44559.0,45943.0,47571.0,49143.0,50777.0,52462.0,54172.0,55866.0,57389.0,58998.0,60497.0,62099.0,63658.0,65051.0,66641.0,68154.0,69762.0,71317.0,72905.0,74607.0,76138.0,77766.0,79271.0,80997.0
