FlightDate,DepDelay,ArrDelay,Cancelled
2015-12-12,26,25,1
2015-12-13,32,31,0
2015-12-14,35,35,1
2015-12-15,30,27,3
2015-12-16,36,35,0
2015-12-17,46,45,0
2015-12-18,46,44,1
2015-12-19,43,36,0
2015-12-20,41,35,0
2015-12-21,43,40,1
2015-12-22,52,51,0
2015-12-23,58,57,1
2015-12-24,43,41,2
2015-12-25,36,34,1
2015-12-26,50,48,2
2015-12-27,57,53,7
2015-12-28,52,46,13
2015-12-29,63,56,4
2015-12-30,65,61,1
2015-12-31,41,34,0
2016-01-01,37,30,0
2016-01-02,42,32,0
2016-01-03,47,42,0
2016-01-04,45,39,0
2016-01-05,42,35,1
2016-01-06,36,32,1
2016-01-07,33,31,1
2016-01-08,35,37,1
2016-01-09,35,34,1
2016-01-10,45,41,1
2016-01-11,35,33,0
2016-01-12,27,29,0
2016-01-13,30,30,0
2016-01-14,32,30,0
2016-01-15,40,40,0
2016-01-16,33,30,0
2016-01-17,34,36,0
2016-01-18,39,38,0
2016-01-19,32,30,0
2016-01-20,28,29,0
2016-01-21,34,37,0
2016-01-22,36,37,14
2016-01-23,23,22,24
2016-01-24,24,22,17
2016-01-25,31,27,6
2016-01-26,24,26,2
2016-01-27,21,24,0
2016-01-28,25,26,0
2016-01-29,25,26,0
2016-01-30,20,18,0
2016-01-31,28,25,0
2016-02-01,22,21,3
2016-02-02,28,31,3
2016-02-03,29,33,1
2016-02-04,26,29,0
2016-02-05,34,34,2
2016-02-06,22,19,0
2016-02-07,20,19,0
2016-02-08,32,34,3
2016-02-09,30,34,1
2016-02-10,24,25,0
2016-02-11,30,27,0
2016-02-12,35,31,0
2016-02-13,33,30,0
2016-02-14,36,35,1
2016-02-15,48,50,5
2016-02-16,46,42,2
2016-02-17,29,28,1
2016-02-18,33,32,0
2016-02-19,33,30,1
2016-02-20,22,17,0
2016-02-21,25,23,0
2016-02-22,26,24,0
2016-02-23,24,27,0
2016-02-24,36,38,8
2016-02-25,36,30,1
2016-02-26,28,24,0
2016-02-27,22,18,0
2016-02-28,23,19,0
2016-02-29,23,20,0
2016-03-01,30,30,2
2016-03-02,25,25,0
2016-03-03,33,36,0
2016-03-04,37,38,0
2016-03-05,26,25,0
2016-03-06,28,27,0
2016-03-07,27,27,0
2016-03-08,27,29,1
2016-03-09,34,35,1
2016-03-10,36,37,1
2016-03-11,36,37,0
2016-03-12,32,30,0
2016-03-13,37,35,1
2016-03-14,37,37,1
2016-03-15,30,29,0
2016-03-16,32,31,0
2016-03-17,40,40,0
2016-03-18,38,38,0
2016-03-19,37,36,0
2016-03-20,34,34,0
2016-03-21,36,36,0
2016-03-22,28,27,0
2016-03-23,29,27,8
2016-03-24,46,47,1
2016-03-25,41,38,0
2016-03-26,37,38,0
2016-03-27,31,33,0
2016-03-28,36,37,0
2016-03-29,30,30,0
2016-03-30,32,35,0
2016-03-31,38,41,0
2016-04-01,41,45,0
2016-04-02,43,44,1
2016-04-03,37,34,0
2016-04-04,35,34,1
2016-04-05,28,29,0
2016-04-06,25,25,0
2016-04-07,37,38,0
2016-04-08,37,37,0
2016-04-09,32,31,0
2016-04-10,33,32,0
2016-04-11,31,31,0
2016-04-12,22,23,0
2016-04-13,22,23,0
2016-04-14,26,26,0
2016-04-15,30,31,0
2016-04-16,24,22,5
2016-04-17,36,34,2
2016-04-18,30,24,5
2016-04-19,22,19,0
2016-04-20,22,21,0
2016-04-21,32,30,0
2016-04-22,30,30,0
2016-04-23,21,17,0
2016-04-24,23,21,0
2016-04-25,24,24,0
2016-04-26,28,34,0
2016-04-27,31,33,0
2016-04-28,31,33,0
2016-04-29,37,40,2
2016-04-30,36,36,0
2016-05-01,41,43,0
2016-05-02,37,38,0
2016-05-03,28,31,0
2016-05-04,33,36,0
2016-05-05,36,36,0
2016-05-06,39,39,0
2016-05-07,30,28,0
2016-05-08,29,28,0
2016-05-09,32,33,0
2016-05-10,26,28,0
2016-05-11,33,33,0
2016-05-12,36,36,0
2016-05-13,34,31,0
2016-05-14,31,27,0
2016-05-15,34,31,0
2016-05-16,34,31,0
2016-05-17,30,32,0
2016-05-18,28,29,0
2016-05-19,36,37,0
2016-05-20,36,36,0
2016-05-21,29,26,0
2016-05-22,27,25,0
2016-05-23,32,33,0
2016-05-24,32,31,0
2016-05-25,32,31,1
2016-05-26,43,44,1
2016-05-27,40,39,2
2016-05-28,30,24,0
