Date,Airline,TotalCancelled
2016-Dec,Jetblue Airways,248
2016-Dec,Delta Air Lines,135
2016-Dec,Virgin America,98
2016-Dec,Southwest Airlines,1876
2016-Dec,SkyWest Airlines,535
2016-Dec,SkyWest Airlines,1830
2016-Dec,Spirit Airlines,286
2016-Dec,Hawaiian Airlines,9
2016-Dec,Express Jet Airlines,1142
2016-Dec,Frontier Airlines,523
2017-Jan,American Airlines,980
2017-Jan,Alaska Airlines,257
2017-Jan,Jetblue Airways,525
2017-Jan,Delta Air Lines,782
2017-Jan,Express Jet Airlines,1159
2017-Jan,Frontier Airlines,162
2017-Jan,Hawaiian Airlines,18
2017-Jan,Spirit Airlines,441
2017-Jan,SkyWest Airlines,1880
2017-Jan,SkyWest Airlines,232
2017-Jan,Virgin America,137
2017-Jan,Southwest Airlines,2313
2017-Feb,Frontier Airlines,51
2017-Feb,Delta Air Lines,356
2017-Feb,American Airlines,791
2017-Feb,Express Jet Airlines,657
2017-Feb,Jetblue Airways,985
2017-Feb,Hawaiian Airlines,13
2017-Feb,Spirit Airlines,199
2017-Feb,Southwest Airlines,1301
2017-Feb,Virgin America,180
2017-Feb,SkyWest Airlines,370
2017-Feb,Alaska Airlines,294
2017-Feb,SkyWest Airlines,1115
2017-Mar,Spirit Airlines,321
2017-Mar,Delta Air Lines,439
2017-Mar,Virgin America,143
2017-Mar,Frontier Airlines,91
2017-Mar,Jetblue Airways,1018
2017-Mar,SkyWest Airlines,1110
2017-Mar,Express Jet Airlines,1284
2017-Mar,American Airlines,1225
2017-Mar,Hawaiian Airlines,23
2017-Mar,SkyWest Airlines,663
2017-Mar,Alaska Airlines,98
2017-Mar,Southwest Airlines,2111
2017-Apr,Delta Air Lines,3151
2017-Apr,Spirit Airlines,229
2017-Apr,Southwest Airlines,844
2017-Apr,Alaska Airlines,62
2017-Apr,Virgin America,94
2017-Apr,SkyWest Airlines,34
2017-Apr,American Airlines,745
2017-Apr,Frontier Airlines,27
2017-Apr,Express Jet Airlines,911
2017-Apr,SkyWest Airlines,914
2017-Apr,Hawaiian Airlines,13
2017-Apr,Jetblue Airways,374
2017-May,Southwest Airlines,531
2017-May,Hawaiian Airlines,12
2017-May,Spirit Airlines,840
2017-May,Frontier Airlines,41
2017-May,Alaska Airlines,82
2017-May,Express Jet Airlines,726
2017-May,Delta Air Lines,56
2017-May,Virgin America,107
2017-May,SkyWest Airlines,69
2017-May,SkyWest Airlines,400
2017-May,American Airlines,498
2017-May,Jetblue Airways,676
2017-Jun,Virgin America,67
2017-Jun,Spirit Airlines,549
2017-Jun,Frontier Airlines,23
2017-Jun,Delta Air Lines,93
2017-Jun,SkyWest Airlines,241
2017-Jun,Southwest Airlines,1143
2017-Jun,Alaska Airlines,91
2017-Jun,SkyWest Airlines,590
2017-Jun,American Airlines,1294
2017-Jun,Hawaiian Airlines,13
2017-Jun,Express Jet Airlines,654
2017-Jun,Jetblue Airways,621
2017-Jul,Alaska Airlines,69
2017-Jul,SkyWest Airlines,814
2017-Jul,American Airlines,1506
2017-Jul,Delta Air Lines,36
2017-Jul,Express Jet Airlines,884
2017-Jul,Spirit Airlines,416
2017-Jul,Frontier Airlines,45
2017-Jul,Southwest Airlines,852
2017-Jul,Hawaiian Airlines,21
2017-Jul,Virgin America,19
2017-Jul,Jetblue Airways,659
2017-Jul,SkyWest Airlines,435
2017-Aug,Jetblue Airways,584
2017-Aug,Frontier Airlines,102
2017-Aug,Southwest Airlines,3319
2017-Aug,American Airlines,994
2017-Aug,Virgin America,35
2017-Aug,SkyWest Airlines,2201
2017-Aug,Delta Air Lines,191
2017-Aug,Express Jet Airlines,1945
2017-Aug,Spirit Airlines,486
2017-Aug,Hawaiian Airlines,21
2017-Aug,SkyWest Airlines,1015
2017-Aug,Alaska Airlines,109
2017-Sep,Delta Air Lines,1705
2017-Sep,Spirit Airlines,1350
2017-Sep,Hawaiian Airlines,23
2017-Sep,Jetblue Airways,2233
2017-Sep,Express Jet Airlines,996
2017-Sep,Southwest Airlines,3450
2017-Sep,SkyWest Airlines,1456
2017-Sep,Virgin America,53
2017-Sep,Frontier Airlines,274
2017-Sep,American Airlines,3328
2017-Sep,Alaska Airlines,109
2017-Sep,SkyWest Airlines,366
2017-Oct,SkyWest Airlines,963
2017-Oct,Southwest Airlines,648
2017-Oct,SkyWest Airlines,156
2017-Oct,Delta Air Lines,10
2017-Oct,Frontier Airlines,45
2017-Oct,Alaska Airlines,77
2017-Oct,Hawaiian Airlines,25
2017-Oct,Spirit Airlines,81
2017-Oct,Jetblue Airways,505
2017-Oct,Express Jet Airlines,329
2017-Oct,American Airlines,362
2017-Oct,Virgin America,97
2017-Nov,Southwest Airlines,473
2017-Nov,SkyWest Airlines,390
2017-Nov,Delta Air Lines,0
2017-Nov,SkyWest Airlines,18
2017-Nov,Hawaiian Airlines,25
2017-Nov,Spirit Airlines,50
2017-Nov,Jetblue Airways,64
2017-Nov,Virgin America,77
2017-Nov,Alaska Airlines,135
2017-Nov,Frontier Airlines,18
2017-Nov,Express Jet Airlines,65
2017-Nov,American Airlines,103
2017-Dec,Virgin America,21
2017-Dec,Spirit Airlines,179
2017-Dec,Alaska Airlines,125
2017-Dec,Delta Air Lines,2141
2017-Dec,Hawaiian Airlines,23
2017-Dec,SkyWest Airlines,901
2017-Dec,American Airlines,312
2017-Dec,SkyWest Airlines,84
2017-Dec,Southwest Airlines,1061
2017-Dec,Jetblue Airways,44
2017-Dec,Frontier Airlines,77
2017-Dec,Express Jet Airlines,356
2018-Jan,SkyWest Airlines,898
2018-Jan,Alaska Airlines,142
2018-Jan,Endeavor Air,1113
2018-Jan,Jetblue Airways,1471
2018-Jan,Express Jet Airlines,997
2018-Jan,Frontier Airlines,188
2018-Jan,Allegiant Air,58
2018-Jan,Hawaiian Airlines,11
2018-Jan,Envoy Air,861
2018-Jan,Spirit Airlines,369
2018-Jan,PSA Airlines,1553
2018-Jan,SkyWest Airlines,1562
2018-Jan,Virgin America,103
2018-Jan,Southwest Airlines,2467
2018-Jan,Mesa Airlines,984
2018-Jan,Republic Airways,1375
2018-Jan,American Airlines,1478
2018-Jan,Delta Air Lines,1539
2018-Feb,Frontier Airlines,111
2018-Feb,Jetblue Airways,358
2018-Feb,Express Jet Airlines,386
2018-Feb,Allegiant Air,29
2018-Feb,Hawaiian Airlines,20
2018-Feb,Envoy Air,1269
2018-Feb,Spirit Airlines,177
2018-Feb,PSA Airlines,550
2018-Feb,SkyWest Airlines,1543
2018-Feb,Virgin America,27
2018-Feb,Southwest Airlines,2037
2018-Feb,Mesa Airlines,437
2018-Feb,Republic Airways,434
2018-Feb,American Airlines,855
2018-Feb,Alaska Airlines,89
2018-Feb,Delta Air Lines,70
2018-Feb,SkyWest Airlines,163
2018-Feb,Endeavor Air,421
2018-Mar,Frontier Airlines,175
2018-Mar,Express Jet Airlines,937
2018-Mar,Allegiant Air,45
2018-Mar,Envoy Air,758
2018-Mar,Spirit Airlines,257
2018-Mar,PSA Airlines,1231
2018-Mar,SkyWest Airlines,978
2018-Mar,Virgin America,303
2018-Mar,Southwest Airlines,2243
2018-Mar,Mesa Airlines,402
2018-Mar,Republic Airways,2078
2018-Mar,American Airlines,2489
2018-Mar,Alaska Airlines,132
2018-Mar,Delta Air Lines,869
2018-Mar,Hawaiian Airlines,37
2018-Mar,Endeavor Air,1533
2018-Mar,Jetblue Airways,1703
2018-Mar,SkyWest Airlines,1109
2018-Apr,SkyWest Airlines,94
2018-Apr,Frontier Airlines,93
2018-Apr,Express Jet Airlines,243
2018-Apr,Allegiant Air,30
2018-Apr,Hawaiian Airlines,10
2018-Apr,Envoy Air,580
2018-Apr,Spirit Airlines,100
2018-Apr,PSA Airlines,454
2018-Apr,SkyWest Airlines,830
2018-Apr,Southwest Airlines,1220
2018-Apr,Mesa Airlines,214
2018-Apr,Republic Airways,660
2018-Apr,American Airlines,456
2018-Apr,Alaska Airlines,127
2018-Apr,Delta Air Lines,268
2018-Apr,Endeavor Air,541
2018-Apr,Jetblue Airways,331
2018-May,Frontier Airlines,100
2018-May,Express Jet Airlines,180
2018-May,Allegiant Air,26
2018-May,Hawaiian Airlines,8
2018-May,Envoy Air,939
2018-May,Spirit Airlines,83
2018-May,PSA Airlines,557
2018-May,SkyWest Airlines,684
2018-May,Southwest Airlines,1445
2018-May,Mesa Airlines,400
2018-May,Republic Airways,715
2018-May,American Airlines,966
2018-May,Delta Air Lines,23
2018-May,Endeavor Air,221
2018-May,Alaska Airlines,149
2018-May,Jetblue Airways,330
2018-May,SkyWest Airlines,328
2018-Jun,Endeavor Air,148
2018-Jun,Alaska Airlines,209
2018-Jun,Jetblue Airways,253
2018-Jun,Express Jet Airlines,173
2018-Jun,Allegiant Air,220
2018-Jun,Hawaiian Airlines,25
2018-Jun,Envoy Air,1228
2018-Jun,Spirit Airlines,83
2018-Jun,PSA Airlines,3300
2018-Jun,SkyWest Airlines,723
2018-Jun,Southwest Airlines,1262
2018-Jun,American Airlines,1397
2018-Jun,Mesa Airlines,406
2018-Jun,Republic Airways,573
2018-Jun,Frontier Airlines,291
2018-Jun,SkyWest Airlines,272
2018-Jun,Delta Air Lines,131
2018-Jul,Endeavor Air,657
2018-Jul,Jetblue Airways,643
2018-Jul,Express Jet Airlines,461
2018-Jul,Southwest Airlines,2107
2018-Jul,Mesa Airlines,371
2018-Jul,American Airlines,1873
2018-Jul,Delta Air Lines,128
2018-Jul,Allegiant Air,165
2018-Jul,Envoy Air,1070
2018-Jul,Hawaiian Airlines,10
2018-Jul,Spirit Airlines,156
2018-Jul,PSA Airlines,628
