Origin,Dest,AverageDelay
PHX,DTW,6.571397926
PHX,EWR,18.08006266
PHX,FLL,12.34944238
PHX,IAD,-1.229934924
PHX,IAH,6.03510929
PHX,LAS,8.059646149
PHX,LAX,8.805453941
PHX,LGA,4.125
PHX,MCO,8.813081516
PHX,MDW,10.1986024
PHX,MSP,7.08962536
PHX,ORD,9.343680025
PHX,PHL,7.963032676
PHX,SEA,6.799522838
PHX,SFO,16.18134139
PHX,SLC,6.66118382
SEA,ATL,6.423800655
SEA,BNA,8.416051933
SEA,BWI,7.726293608
SEA,CLT,4.966280926
SEA,DCA,2.262882337
SEA,DEN,7.461145353
SEA,DFW,7.955971381
SEA,DTW,5.891271599
SEA,EWR,10.65003692
SEA,FLL,5.306603774
SEA,IAD,6.894026187
SEA,IAH,6.000907815
SEA,LAS,5.547138417
SEA,LAX,6.175992954
SEA,MCO,3.528013183
SEA,MDW,9.388275447
SEA,MSP,6.184040838
SEA,ORD,8.758068944
SEA,PHL,6.11368736
SEA,PHX,6.381843981
SEA,SFO,13.7751184
SEA,SLC,4.117366271
SFO,ATL,9.118651225
SFO,BNA,10.10402565
SFO,BWI,9.009247028
SFO,CLT,5.301904863
SFO,DCA,8.706673991
SFO,DEN,13.21511771
SFO,DFW,12.62513191
SFO,DTW,7.893245099
SFO,EWR,15.99274636
SFO,FLL,15.22109475
SFO,IAD,10.68237728
SFO,IAH,11.69441566
SFO,LAS,12.22064048
SFO,LAX,11.76290568
SFO,MCO,13.37635102
SFO,MDW,9.73540466
SFO,MSP,7.277593898
SFO,ORD,13.81742963
SFO,PHL,8.648698885
SFO,PHX,10.83512075
SFO,SEA,11.65133638
SFO,SLC,12.82729715
SLC,ATL,7.154770748
SLC,BNA,6.268954918
SLC,BWI,5.531376518
SLC,CLT,4.784940261
SLC,DCA,6.640326975
SLC,DEN,7.694188675
SLC,DFW,8.554264012
SLC,DTW,4.76301664
SLC,EWR,24.33466934
SLC,FLL,11.31302117
SLC,IAD,7.298994975
SLC,IAH,9.701437618
SLC,LAS,6.569173202
SLC,LAX,6.994458546
SLC,MCO,9.844540315
SLC,MDW,6.596129361
SLC,MSP,5.926330702
SLC,ORD,13.59931778
SLC,PHL,5.85745614
SLC,PHX,5.567584629
SLC,SEA,3.394287121
SLC,SFO,15.81775484
