Airport,AvgDist,AvgDepDelay,OnTimeDepRate,CancellationRate,AvgArrDelay,OnTimeArrRate
BIL,549.0032056596474,3.5418117504007074,83,0,1.2777624233044056,71
BIS,539.0003058478102,8.050464888671398,77,1,3.7435458216077326,68
BJI,199.0,7.245910577971647,81,0,-0.9048527808069793,79
BKG,569.023178807947,12.721854304635762,66,3,11.357615894039736,58
BLI,970.6326998689384,1.901048492791612,80,0,-1.137897150343924,68
BLV,854.6743614931238,21.257858546168958,58,0,8.09640924741761,62
BMI,441.2840944392669,7.833178005591798,76,2,7.24522441372884,64
BNA,695.5156619254285,10.108537396648398,62,1,3.8054220665055296,65
BOI,619.5859236316002,6.56093679223339,74,0,3.2189672901772597,65
BOS,996.1279070117954,11.44537756864542,64,2,7.609086428387326,63
BPT,270.0,11.469688221709006,72,4,8.436400346120566,60
BQK,238.0,8.069508609827803,78,1,5.748845023099538,67
BQN,1282.7276838591579,14.324108969527297,56,2,13.284746855852951,52
BRD,114.01911027568923,5.506578947368421,83,1,-0.22587719298245615,82
BRO,379.34785772764485,4.8855635404348225,82,2,3.347213383034821,69
BRW,590.8549149338374,-3.8974480151228734,80,2,-3.86531190926276,75
BTM,358.0,3.2395924308588064,85,1,-4.904041872637395,81
BTR,389.54546696914207,10.60157979610244,72,1,7.253874538745388,65
BTV,469.13948683772077,12.591669443518827,70,3,7.272875708097301,64
BUF,597.7306498020113,8.682543752195919,71,2,5.3675804506566145,65
BUR,479.5021332975812,7.928422148439656,63,2,4.349583238047172,63
BWI,797.2585508976081,10.49078919886618,58,1,2.3495852644560697,67
BZN,738.9187171154441,7.419993809965955,75,0,1.408827170044871,68
CAE,372.11609967651344,8.826241512921689,73,1,6.665801543001386,64
CAK,486.75324016858383,10.276325379472066,73,2,8.970968559837727,63
CDC,221.0,1.9855783982816815,77,0,4.847592762956149,51
CDV,186.485342920354,-5.4734513274336285,78,1,-0.3317666574509262,67
CEC,304.0,15.947368421052632,68,8,3.942105263157895,67
CGI,200.88166768853463,13.92397302268547,75,3,5.079044117647059,71
CHA,304.1224549630257,11.361989770987392,71,1,8.021859525671097,64
CHO,411.737711109912,13.515135164301515,70,3,9.215807930941462,63
CHS,555.9720939416211,9.144587168039665,71,2,3.491279835029835,67
CID,464.36077150672696,9.882571316920671,70,2,5.399330170248395,65
CIU,317.7285629804849,13.732998225901833,74,2,2.351758793969849,74
CKB,357.4757882882883,18.82882882882883,72,2,15.373521126760563,64
CLD,86.0,5.244929797191888,75,2,4.2984375,68
CLE,681.5579085119942,8.87528520069859,70,1,4.714620702404756,66
CLL,126.52372987664646,4.746498013798871,81,2,4.050606440819741,69
CLT,629.5902502243047,9.450596899611206,63,1,2.188058823602715,67
CMH,661.386076403849,8.636650868878357,69,1,4.104008090382498,65
CMI,288.6344001053602,7.502699855129725,76,4,6.544975635453707,63
CMX,359.8341102275843,14.432958596106388,75,6,9.98440065681445,66
CNY,266.6717373899119,7.227381905524419,80,2,2.899919935948759,69
COD,333.99607432609264,4.950536508767338,78,1,-1.4862816827802456,74
COS,590.7068365909491,11.249339672477548,73,1,9.16496456398292,60
COU,420.99187481191694,12.11886849232621,73,4,10.670126353790614,60
CPR,284.7796854942234,0.27086007702182285,85,0,-3.4336865767501608,76
CRP,241.43781272337384,6.004288777698356,75,2,6.2862250826852595,63
CRW,391.49187266147334,12.754891737716985,68,2,7.6539310683184105,64
CSG,83.0,8.279627393479386,73,0,6.369974115616911,65
CVG,672.8001246057396,9.930785405552744,70,1,5.282052779833068,66
CWA,227.17979775530614,6.171685742860318,79,3,4.868526339186486,68
CYS,713.0,16.713787085514834,71,5,0.8778359511343804,78
DAB,425.8799165195055,7.034997591908813,73,1,2.7364745545031304,68
DAL,710.8551528521904,11.7741311635103,48,1,3.9374516578146754,63
DAY,460.625856527803,9.009601196612294,73,2,6.455547020295949,65
DBQ,147.0,6.175724048161406,75,5,6.164659941425318,62
DCA,700.6244412832258,9.091498787465724,69,2,4.388581131148386,66
DEN,891.9508096781001,10.58945017268675,60,1,3.2973652357690257,67
DFW,817.1788219999444,11.467287600266559,62,1,5.968205574912892,65
DHN,170.0,9.999408721359941,75,0,6.738802660753881,66
DIK,483.3893893893894,1.3423423423423424,87,1,-3.2865731462925853,74
DLG,329.0,-1.6009732360097324,70,0,-3.846715328467153,79
DLH,266.0538222121005,12.247248159113338,76,3,5.6227145133146195,69
DRO,410.47854257825645,7.096937058229552,75,2,5.3915348367553015,64
DRT,335.0,8.623655913978494,75,1,0.6026252983293556,65
DSM,623.2130179570005,8.347296030009378,73,1,4.858209603195276,65
DTW,675.5057048086604,9.113515013533757,70,0,2.4047033119009362,71
DVL,321.09117743522467,11.04362085929813,80,5,0.9196984595214683,73
EAR,313.80542986425337,3.1199095022624435,86,3,6.16045197740113,71
EAU,268.8297992649138,9.349165959852982,79,3,6.206672321176138,66
ECP,428.95628244662163,7.130606190717827,74,1,5.274632223826433,67
EGE,877.3048327137546,18.870226427847246,68,3,12.768329766865637,60
EKO,200.0,0.5123321885732126,87,1,-2.618794879800187,72
ELM,446.2459932910921,6.6943719716735,78,1,4.008758852031308,68
ELP,626.2102312948757,8.505785983617216,66,1,6.461929593944559,60
ERI,257.3673933649289,8.035829383886256,78,2,5.738817285822593,66
ESC,305.91685321394306,12.654301247201792,75,2,3.4155470249520152,73
EUG,661.6521634615384,9.846586538461539,73,1,4.389305635699173,65
EVV,364.82469717362045,8.693752803947959,75,2,4.559955131800336,67
EWN,328.3914281195635,8.056618693658073,75,2,7.677689873417721,63
EWR,1089.9634698066607,14.853599978173683,61,2,13.01549963588768,59
EYW,611.5525984648295,7.8043286774883605,73,1,1.3477823214847435,72
FAI,1027.93410194885,-0.761456077719904,81,0,-1.557987126974839,69
FAR,504.3176010222009,9.44477719214183,73,2,4.8299520766773165,66
FAT,519.0131570690485,9.63160206664296,74,0,4.8878545728390925,65
FAY,258.5596864139659,10.587569708235675,68,2,5.314823795667636,65
FCA,762.2530993398808,4.009338270809853,81,0,0.2126066655933022,69
FLG,170.07933015523776,3.852340789634519,80,2,1.6139085798093376,70
FLL,1036.145947680521,12.410248182144345,61,1,6.03575097779214,62
FLO,99.0,12.323529411764707,61,1,10.658823529411764,58
FNT,493.17969834809674,6.550155614077089,76,2,4.003878381613598,67
FSD,483.50527860287013,10.35787138102566,73,2,6.931923118221841,63
FSM,369.67711378786106,7.9904104783066305,78,1,7.457714352555855,64
FWA,359.46654074473827,11.407312466270913,73,1,8.235488549360856,65
GCC,331.253164556962,3.9928270042194094,82,1,0.042854127084652735,73
GCK,403.8917083631165,8.53288062902073,78,3,3.7607296137339055,67
GEG,654.2237972889164,4.888225392043944,74,0,3.067313996137286,64
GFK,338.9763590391909,5.50897597977244,81,1,0.9839504612662707,74
GGG,140.0,6.187367678193366,75,3,4.511111111111111,66
GJT,394.37239241864347,1.9936226010251519,84,0,-0.6062742754705707,72
GNV,335.8354407183434,9.917414941054304,71,1,5.850659662838994,64
GPT,408.85413121054074,6.600713697502059,77,1,5.463595431583571,67
GRB,279.9273635664873,6.516098727474592,79,2,5.5043578569597535,67
GRI,611.666091954023,11.042241379310346,71,2,4.542972118424835,67
GRK,228.25858543121078,7.28792045694944,76,2,5.273413258110014,65
GRR,494.65069554035887,8.732830673914314,72,2,5.280693293582942,65
GSO,399.73194682675813,9.733962264150943,73,2,6.431003795595394,64
GSP,395.37238102810795,9.883135212499504,72,1,5.785911629663493,64
GST,41.0,0.36496350364963503,68,1,-2.068126520681265,73
GTF,618.2729439809297,3.788817856755878,84,0,-2.165655471289274,74
GTR,241.0,8.233571015609945,79,0,5.129479768786127,68
GUC,631.0616388687455,11.187817258883248,69,2,10.461147421931736,56
GUM,2752.0621336459553,6.030480656506448,62,0,2.4439234075810865,62
HDN,777.1524312896406,12.048837209302325,70,2,5.080143793613872,61
HGR,770.7538940809969,25.778816199376948,55,0,9.21183800623053,64
HHH,269.00722804481387,11.117817130466209,74,2,12.608161791260383,64
HIB,156.52131484334873,4.200821777092964,82,1,-4.77929085303186,79
HLN,541.6278409090909,1.7135622529644268,87,0,-3.00012359411692,75
HNL,1264.301670458505,2.4895078808747875,72,0,1.5687948147146002,64
HOB,501.0,4.075340393343419,83,2,0.7973994557000302,71
HOU,708.0037477215757,11.415916005908919,50,2,3.723356624620136,63
HPN,832.4490690787209,14.279735531118712,64,2,10.569217363388292,60
HRL,315.6548930847579,6.942998391804157,72,1,4.111746145144966,64
HSV,383.8261134056927,7.007299971184325,76,1,4.151651940069151,69
HTS,488.0452830188679,17.454716981132076,52,2,7.466624685138539,63
HVN,168.4437086092715,6.43282876064333,79,7,5.754850922858495,67
HYA,196.0,21.851063829787233,50,0,5.861702127659575,64
HYS,244.0021398002853,10.09320019020447,78,3,6.392492278450939,71
IAD,1091.7901261620993,10.568394953516023,70,1,3.7139093333766353,68
IAG,1000.0931655899354,10.180550833049983,63,3,1.6722260040844112,72
IAH,833.2589849812105,9.674704049045133,68,1,3.664114794488572,67
ICT,569.3102226280546,8.287764153404645,73,1,5.092537832666551,64
IDA,307.3553911023148,3.183547026933999,81,0,0.3625408848338785,72
ILG,860.72,28.51,45,5,21.316326530612244,44
ILM,333.7712023750619,8.284463137060861,73,2,5.245719940623454,66
IMT,242.23699078203984,9.222420457924473,77,1,-3.9170383586083855,80
IND,735.3611036982676,8.502824293370693,69,1,4.424196767611624,65
INL,213.8693736229147,4.877557444129682,83,1,-4.674850487881649,80
ISN,600.5483276270741,5.311298393468528,81,0,-1.5495982084046898,72
ISP,771.5759067161354,10.070152192019384,63,2,7.691361296184131,62
ITH,354.37516204303864,14.07674358309567,75,1,4.491455204557224,71
ITO,311.50562493885934,-0.6838947402745622,76,0,-0.09723282442748092,66
JAC,674.9508518015981,11.93064978139605,71,1,7.29049605468161,64
JAN,407.2707765973365,7.883435582822086,74,2,4.748601011461233,67
JAX,604.3817533171648,8.881244257559327,70,1,4.9913921536169505,64
JFK,1366.9716228671791,12.538799015872325,65,1,7.372143877267704,65
JLN,344.78446327683616,10.696045197740114,74,3,8.165583498163324,63
JMS,261.330550918197,7.901919866444073,77,5,4.415051073587659,73
JNU,495.82981483138025,-0.27851328383576346,77,1,-1.9496891910021914,71
KOA,1074.1672795190568,1.1010914609233642,75,0,-1.3053706628097466,68
KTN,457.96628201980525,-0.7647925362140928,75,1,0.16145662847790507,67
LAN,194.8231592651526,8.442788948358166,76,2,5.27789031978006,68
LAR,113.0,7.628151931056496,80,3,4.355456285896618,74
LAS,993.1102109106707,10.24774633828458,58,0,3.6017574410706508,64
LAW,140.0,8.480113636363637,75,3,7.54881310598462,64
LAX,1291.0795388851736,10.485671790061964,59,1,4.753853709336858,60
LBB,387.02237087399936,7.432467010271594,73,2,6.8658429594970025,61
LBE,826.9738311235171,5.49546406140963,75,2,7.427898044692737,66
LBF,228.0,0.9103852596314908,88,2,5.067725752508361,72
LBL,246.17200674536255,9.456155143338954,80,2,3.6079258010118043,72
LCH,196.0060248080331,3.9656231541642057,82,2,3.2427035330261136,70
LCK,757.7862199150543,18.49079754601227,54,0,8.920928030303031,62
LEX,406.58874817206083,9.205391385922798,74,2,5.827902998868872,66
LFT,344.58681412568825,7.9496392633377635,75,2,4.425112746261571,68
LGA,757.6548744788156,13.23262146406012,66,3,10.276562144009688,62
LGB,670.4456587212804,7.261853541003356,70,0,4.668832193205123,65
LIH,1015.4176478866632,1.4037622554768494,75,0,-0.7170891123168577,68
LIT,505.81487206532216,7.458364400152758,70,1,4.58205561921391,64
