Dest,Carrier,National Air System,Security,Weather
PBG,12.0,2.0,1.0,31.0
PBI,330.0,237.0,3.0,1390.0
PDX,801.0,247.0,1.0,848.0
PGD,18.0,2.0,,43.0
PGV,20.0,1.0,,46.0
PHF,55.0,5.0,,107.0
PHL,2604.0,1401.0,9.0,5242.0
PHX,4586.0,462.0,15.0,2902.0
PIA,51.0,136.0,2.0,284.0
PIB,33.0,6.0,,31.0
PIE,33.0,1.0,,58.0
PIH,1.0,,,14.0
PIR,3.0,4.0,,22.0
PIT,673.0,724.0,1.0,1335.0
PLN,14.0,9.0,,98.0
PNS,116.0,99.0,,375.0
PRC,,1.0,,13.0
PSC,30.0,21.0,,143.0
PSE,35.0,37.0,,35.0
PSG,19.0,,,23.0
PSM,,,,4.0
PSP,146.0,101.0,,353.0
PUB,6.0,5.0,,37.0
PVD,289.0,295.0,2.0,1008.0
PVU,3.0,,,7.0
PWM,135.0,507.0,,490.0
RAP,28.0,36.0,1.0,232.0
RDD,9.0,29.0,,138.0
RDM,11.0,60.0,,242.0
RDU,872.0,900.0,1.0,2335.0
RFD,3.0,,,6.0
RHI,4.0,3.0,,66.0
RIC,420.0,731.0,1.0,897.0
RKS,10.0,10.0,,55.0
RNO,253.0,79.0,,404.0
ROA,33.0,65.0,,107.0
ROC,189.0,585.0,,580.0
ROW,22.0,3.0,,82.0
RST,27.0,107.0,,234.0
RSW,408.0,170.0,1.0,1261.0
SAF,75.0,7.0,,83.0
SAN,2232.0,821.0,4.0,1464.0
SAT,593.0,83.0,,1093.0
SAV,208.0,350.0,,650.0
SBA,91.0,151.0,1.0,374.0
SBN,58.0,166.0,,277.0
SBP,37.0,69.0,1.0,255.0
SCC,11.0,,,17.0
SCE,5.0,40.0,,80.0
SCK,5.0,1.0,,2.0
SDF,268.0,374.0,,704.0
SEA,2021.0,483.0,2.0,1684.0
SFB,39.0,6.0,,127.0
SFO,4188.0,4230.0,6.0,6023.0
SGF,69.0,182.0,,353.0
SGU,3.0,3.0,,32.0
SHD,6.0,11.0,,24.0
SHV,214.0,92.0,,270.0
SIT,25.0,,,36.0
SJC,2140.0,147.0,2.0,534.0
SJT,56.0,28.0,,90.0
SJU,314.0,342.0,5.0,1090.0
SLC,757.0,188.0,1.0,1574.0
SLN,,4.0,,44.0
SMF,1088.0,173.0,1.0,718.0
SMX,,2.0,,23.0
SNA,758.0,292.0,1.0,821.0
SPI,44.0,36.0,,156.0
SPN,1.0,1.0,,6.0
SPS,63.0,16.0,,107.0
SRQ,71.0,27.0,,144.0
STC,1.0,1.0,,9.0
STL,1109.0,750.0,,2216.0
STS,11.0,44.0,1.0,132.0
STT,34.0,40.0,,254.0
STX,9.0,14.0,,41.0
SUN,4.0,3.0,,64.0
SUX,7.0,51.0,,55.0
SWF,44.0,4.0,1.0,56.0
SWO,2.0,16.0,,30.0
SYR,169.0,478.0,1.0,562.0
TLH,101.0,50.0,,175.0
TOL,26.0,62.0,,104.0
TPA,1219.0,330.0,6.0,2699.0
TRI,37.0,12.0,,69.0
TTN,159.0,,,174.0
TUL,198.0,185.0,,588.0
TUS,180.0,69.0,2.0,456.0
TVC,39.0,140.0,,236.0
TWF,2.0,,,23.0
TXK,57.0,26.0,,88.0
TYR,54.0,37.0,,127.0
TYS,266.0,345.0,,420.0
UIN,5.0,28.0,,67.0
USA,5.0,2.0,,21.0
UST,5.0,,,5.0
VEL,1.0,4.0,,42.0
VLD,4.0,5.0,,23.0
VPS,168.0,51.0,1.0,271.0
WRG,18.0,,,19.0
WYS,,1.0,,1.0
XNA,148.0,284.0,,476.0
XWA,,,,2.0
YAK,12.0,,,20.0
YUM,19.0,3.0,,14.0
