Origin,Description,count(c.Description)
CVG,National Air System,899
MLU,Carrier,99
IND,National Air System,778
BTV,National Air System,458
MEI,Carrier,40
TVC,Weather,245
MSN,Weather,543
SDF,National Air System,399
PIT,National Air System,751
SBN,National Air System,110
SYR,National Air System,447
SGF,National Air System,168
BRO,Weather,145
GUC,Weather,32
TYS,National Air System,262
GSO,National Air System,551
DIK,National Air System,5
ROA,Weather,130
MHT,National Air System,204
ORF,National Air System,726
GSO,Weather,462
JAX,National Air System,411
HOB,National Air System,26
HOB,Weather,51
MOB,Weather,316
ROC,National Air System,581
GRR,National Air System,428
CAE,National Air System,98
SAF,Carrier,102
LBB,National Air System,92
XNA,National Air System,324
CMH,National Air System,934
ATW,Weather,193
ATW,National Air System,131
RST,Carrier,39
AZO,Carrier,36
ERI,Weather,71
LFT,National Air System,111
ERI,National Air System,41
ERI,Carrier,3
PHF,Carrier,70
ELM,Carrier,15
ELM,Weather,36
MHT,Carrier,168
BHM,Weather,624
ABE,Carrier,63
BTR,Weather,313
TLH,Weather,187
GNV,National Air System,29
CAE,Carrier,185
BTV,Carrier,149
TRI,Carrier,49
GNV,Weather,99
TVC,Carrier,47
AVP,Weather,142
EWN,Weather,129
EWN,Carrier,33
ABY,Weather,19
VLD,Weather,26
SHV,Weather,284
GSO,Carrier,321
TRI,National Air System,11
BMI,Carrier,54
BMI,Weather,195
CRW,Weather,234
OAJ,Weather,157
LEX,Carrier,159
SHV,Carrier,237
GRK,Weather,209
GRK,Carrier,103
FAY,Carrier,69
CAE,Weather,216
BQK,Carrier,11
OAJ,Carrier,44
MGM,Weather,131
FAR,Weather,362
XNA,Carrier,201
SCE,National Air System,36
AVP,National Air System,86
SCE,Weather,79
HSV,National Air System,111
JAN,Weather,346
CAK,National Air System,249
ISN,National Air System,11
ABE,National Air System,49
LNK,National Air System,71
ELM,National Air System,18
CID,National Air System,232
TTN,Carrier,140
CWA,Weather,165
MSO,Carrier,24
TTN,Weather,146
TUL,National Air System,195
ITO,Carrier,61
TOL,Carrier,44
HSV,Weather,278
ABI,Weather,143
LSE,National Air System,64
DBQ,Weather,89
FSM,Weather,72
FSM,Carrier,64
LFT,Weather,267
ROW,Weather,88
DBQ,Carrier,16
AEX,Weather,167
SGF,Carrier,86
EVV,Carrier,82
LCH,Weather,129
JAN,National Air System,153
GPT,Weather,205
MHK,National Air System,63
RST,National Air System,103
ALO,National Air System,35
ALO,Carrier,14
ALO,Weather,46
BMI,National Air System,78
MQT,Carrier,3
ABI,Carrier,20
GJT,Weather,76
GJT,Carrier,40
GCK,Weather,67
GCK,Carrier,22
FNT,Carrier,61
FNT,National Air System,122
GRB,National Air System,179
CLL,Weather,174
DBQ,National Air System,70
EVV,National Air System,143
TYS,Weather,409
CMI,Carrier,30
CMI,Weather,169
CMI,National Air System,112
FNT,Weather,254
GGG,Weather,52
GGG,Carrier,33
TYS,Carrier,310
LSE,Weather,136
AZO,National Air System,129
JLN,Weather,72
JLN,Carrier,33
COU,Carrier,51
LEX,National Air System,242
TVC,National Air System,149
ACT,Carrier,111
ACT,National Air System,39
MGM,Carrier,66
CWA,Carrier,17
CWA,National Air System,100
GRI,National Air System,8
GRI,Weather,53
LBB,Carrier,148
HSV,Carrier,189
CRP,National Air System,104
MDT,National Air System,83
MDT,Carrier,94
BIS,National Air System,20
GRK,National Air System,70
ACT,Weather,105
SPS,Weather,107
SUX,Carrier,14
SUX,National Air System,51
TOL,Weather,105
TOL,National Air System,62
CHA,Weather,236
CHA,Carrier,130
CHO,National Air System,144
GSP,Carrier,230
MOB,National Air System,107
MHK,Weather,113
MHK,Carrier,32
BPT,Weather,70
LAW,Weather,114
TXK,Weather,94
TXK,Carrier,61
EYW,Weather,135
TYR,Weather,124
SJT,Weather,98
TLH,Carrier,120
CHA,National Air System,114
GPT,Carrier,97
GPT,National Air System,56
COU,Weather,189
JAN,Carrier,229
GNV,Carrier,80
ROW,Carrier,27
EYW,Carrier,34
LSE,Carrier,22
COU,National Air System,69
VPS,National Air System,55
MLU,Weather,111
SRQ,Carrier,105
PHF,Weather,123
TRI,Weather,67
FAY,Weather,177
ILM,Weather,314
DAB,Weather,110
MOB,Carrier,136
TYR,National Air System,39
ISN,Weather,57
CRW,Carrier,101
LCH,Carrier,29
PIB,Carrier,35
ALB,National Air System,142
LAN,National Air System,99
ROA,National Air System,66
SHV,National Air System,101
PWM,National Air System,601
BRO,National Air System,59
MLB,Weather,70
AVL,Weather,361
BTR,National Air System,113
CRW,National Air System,75
DHN,National Air System,11
DHN,Carrier,12
ALB,Carrier,180
GTR,Weather,33
GTR,Carrier,8
ITH,Carrier,5
ROA,Carrier,41
AEX,Carrier,48
BGR,Carrier,47
MYR,Carrier,240
BIS,Carrier,51
ABY,Carrier,6
SCE,Carrier,9
DHN,Weather,35
VLD,Carrier,2
BGM,Weather,51
BGM,Carrier,4
CSG,Carrier,10
AGS,Carrier,80
ILM,Carrier,118
MGM,National Air System,22
AVP,Carrier,44
PHF,National Air System,9
GUC,National Air System,3
MOT,National Air System,11
ILG,Carrier,5
UST,Carrier,8
MQT,National Air System,12
GCK,National Air System,6
VPS,Carrier,184
TXK,National Air System,25
SUX,Weather,58
LBE,Weather,98
LGA,Security,10
STT,Carrier,77
ISP,Carrier,125
HOU,National Air System,219
CAK,Carrier,127
AGS,Weather,110
ACY,Carrier,123
LBE,Carrier,40
YUM,Weather,11
MTJ,Weather,83
DLH,Carrier,20
HDN,Weather,88
MRY,National Air System,71
ESC,Weather,73
DVL,National Air System,39
CEC,Carrier,2
CIU,Weather,55
CIU,Carrier,13
CMX,Carrier,11
MFE,Carrier,155
LAR,Weather,88
LAR,National Air System,6
