Origin,DepDelay
CRW,12.754891737716985
CSG,8.279627393479386
CVG,9.930785405552744
CWA,6.171685742860318
CYS,16.713787085514834
DAB,7.034997591908813
DAL,11.7741311635103
DAY,9.009601196612294
DBQ,6.175724048161406
DCA,9.091498787465724
DEN,10.58945017268675
DFW,11.467287600266559
DHN,9.999408721359941
DIK,1.3423423423423424
DLG,-1.6009732360097324
DLH,12.247248159113338
DRO,7.096937058229552
DRT,8.623655913978494
DSM,8.347296030009378
DTW,9.113515013533757
DVL,11.04362085929813
EAR,3.1199095022624435
EAU,9.349165959852982
ECP,7.130606190717827
EFD,7.0
EGE,18.870226427847246
EKO,0.5123321885732126
ELM,6.6943719716735
ELP,8.505785983617216
ENV,157.0
ERI,8.035829383886256
ESC,12.654301247201792
EUG,9.846586538461539
EVV,8.693752803947959
EWN,8.056618693658073
EWR,14.853599978173683
EYW,7.8043286774883605
FAI,-0.761456077719904
FAR,9.44477719214183
FAT,9.63160206664296
FAY,10.587569708235675
FCA,4.009338270809853
FLG,3.852340789634519
FLL,12.410248182144345
FLO,12.323529411764707
FNT,6.550155614077089
FSD,10.35787138102566
FSM,7.9904104783066305
FWA,11.407312466270913
GCC,3.9928270042194094
GCK,8.53288062902073
GEG,4.888225392043944
GFK,5.50897597977244
GGG,6.187367678193366
GJT,1.9936226010251519
GNV,9.917414941054304
GPT,6.600713697502059
GRB,6.516098727474592
GRI,11.042241379310346
GRK,7.28792045694944
GRR,8.732830673914314
GSO,9.733962264150943
GSP,9.883135212499504
GST,0.36496350364963503
GTF,3.788817856755878
GTR,8.233571015609945
GUC,11.187817258883248
GUM,6.030480656506448
HDN,12.048837209302325
HGR,25.778816199376948
HHH,11.117817130466209
HIB,4.200821777092964
HLN,1.7135622529644268
HNL,2.4895078808747875
HOB,4.075340393343419
HOU,11.415916005908919
HPN,14.279735531118712
HRL,6.942998391804157
HSV,7.007299971184325
HTS,17.454716981132076
HVN,6.43282876064333
HYA,21.851063829787233
HYS,10.09320019020447
IAD,10.568394953516023
IAG,10.180550833049983
IAH,9.674704049045133
ICT,8.287764153404645
IDA,3.183547026933999
IFP,7.104395604395604
ILG,28.51
ILM,8.284463137060861
IMT,9.222420457924473
IND,8.502824293370693
INL,4.877557444129682
ISN,5.311298393468528
ISP,10.070152192019384
ITH,14.07674358309567
ITO,-0.6838947402745622
JAC,11.93064978139605
JAN,7.883435582822086
JAX,8.881244257559327
JFK,12.538799015872325
JLN,10.696045197740114
JMS,7.901919866444073
JNU,-0.27851328383576346
KOA,1.1010914609233642
KTN,-0.7647925362140928
LAN,8.442788948358166
LAR,7.628151931056496
LAS,10.24774633828458
LAW,8.480113636363637
LAX,10.485671790061964
LBB,7.432467010271594
LBE,5.49546406140963
LBF,0.9103852596314908
LBL,9.456155143338954
LCH,3.9656231541642057
LCK,18.49079754601227
LEX,9.205391385922798
LFT,7.9496392633377635
LGA,13.23262146406012
LGB,7.261853541003356
LIH,1.4037622554768494
LIT,7.458364400152758
LNK,7.179229221482743
LRD,6.707475341754629
LSE,7.713157894736842
LWB,20.844480257856567
LWS,-1.2337526205450733
LYH,9.084300858152448
MAF,7.0878905214024295
MBS,8.078477601886156
MCI,7.3832397433195736
MCO,12.192814185929373
MDT,9.765652213768448
MDW,11.833636068540171
MEI,18.283754654125026
MEM,8.410193321616871
MFE,7.47827279710304
MFR,12.320596145226355
MGM,10.844715658270578
MHK,8.68783555760086
MHT,6.134391028196338
MIA,11.650238840642139
MKE,7.984981652648702
MKG,7.225806451612903
MLB,6.157977551662645
MLI,9.484521238300935
MLU,9.448134200616227
MMH,21.073972602739726
MOB,8.379602103818888
MOT,8.018340438187767
MQT,17.30534188034188
MRY,8.36438586989228
MSN,7.901562557855371
MSO,5.856414197875909
MSP,7.762495030847649
MSY,9.397640330661526
MTJ,9.012011037169291
MVY,21.505431675242995
MYR,9.375
OAJ,10.136758554113483
OAK,8.812191909988979
OGD,20.805194805194805
OGG,3.261729661934895
OGS,20.42942942942943
OKC,7.705292857516067
OMA,7.281881771277144
OME,-2.391581279423982
ONT,8.161862037828648
ORD,12.691486980476895
ORF,10.738357957733308
ORH,14.982375829709316
OTH,26.60431654676259
OTZ,-1.2812846068660022
OWB,20.854460093896712
PAE,10.739532019704434
PAH,10.95006090133983
