Origin,Carrier,National Air System,Security,Weather
TYR,68.0,39.0,,124.0
TYS,310.0,262.0,,409.0
UIN,5.0,33.0,,81.0
USA,10.0,3.0,,22.0
UST,8.0,,,8.0
VEL,1.0,3.0,,47.0
VLD,2.0,5.0,,26.0
VPS,184.0,55.0,1.0,269.0
WRG,32.0,,,24.0
WYS,,1.0,,2.0
XNA,201.0,324.0,,484.0
XWA,,,,3.0
YAK,31.0,2.0,,39.0
YUM,21.0,2.0,,11.0
