Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
VPS,3.9824,1.1477,1.6036,0.0132,4.3020,2888,544,2531,16,2658
JAN,4.0233,0.9158,1.7026,0.0062,3.9321,3183,617,2893,12,2679
GNV,4.7840,0.5950,1.4568,0.0060,4.0310,1750,232,1451,5,1512
TRI,5.5882,0.9609,1.0918,0.0046,4.1326,1204,173,785,3,1023
BOI,3.5199,0.4179,1.0553,0.0124,4.7045,7206,558,5653,42,8700
ECP,4.3937,1.2970,1.5936,0.0043,3.8371,2506,393,1712,6,2293
ALB,4.2719,0.7274,1.5358,0.0221,4.5283,6130,680,3957,47,5392
FNT,3.7994,0.7780,1.5203,0.0060,4.2184,1771,311,1617,5,2005
TYS,5.3541,0.8167,2.3621,0.0050,6.1329,6047,872,6092,12,6090
GPT,3.9848,1.4374,1.7171,0.0084,4.0812,1736,319,1557,10,1480
MLB,3.1332,0.7967,1.3132,0.0066,2.7062,863,180,656,5,637
ROA,5.1154,0.8837,1.5708,0.0062,3.6248,1158,175,945,3,958
DAL,2.5443,0.3842,1.7669,0.0214,4.5349,37148,2651,30450,247,41980
AVL,5.0285,1.2510,2.0285,0.0110,5.0560,2716,513,2630,14,2855
MSN,4.0064,0.7759,1.9415,0.0018,4.5205,4743,850,4858,7,4903
ATW,4.7363,1.1726,1.7308,0.0016,3.4942,1381,255,1469,1,1350
AVP,4.5203,1.0916,2.0605,0.0154,4.1948,1091,237,1084,4,1123
AGS,4.7317,1.1964,1.4637,0.0091,4.5271,1734,333,1350,5,1518
CAK,4.9582,0.9552,2.0101,0.0156,7.0844,3430,530,3127,19,3971
MYR,3.0388,0.4592,3.5302,0.0286,3.7465,3156,422,4256,59,2572
GRB,4.7280,1.0869,1.9615,0.0134,4.5019,1956,362,2129,8,2136
FAY,4.2263,0.7654,1.0852,0.0171,4.2786,1288,268,945,9,1108
CHO,5.6164,1.2913,2.3330,0.0128,6.1758,1941,333,2002,8,2310
LFT,4.2612,0.8533,1.8401,0.0042,3.8250,1855,327,1846,6,1630
BIS,4.3824,1.2300,1.5833,0.0041,4.0059,1348,255,1368,4,1427
CRW,4.8570,1.3645,1.6923,0.0067,5.3772,1755,325,1450,9,1665
ABE,5.0120,0.9121,1.8891,0.0038,3.7324,1499,268,1360,4,1326
ILM,4.1963,0.6649,1.6175,0.0085,4.4117,1989,332,1770,8,1910
XNA,4.2341,0.9269,2.3195,0.0106,4.6915,4514,870,5050,17,4639
CHA,5.3700,0.8576,1.9809,0.0024,5.6932,3072,497,3032,6,3320
EVV,4.6621,0.8243,1.4648,0.0006,4.8343,1569,296,1351,2,1669
PSC,4.1802,0.7051,1.3912,0.0063,4.5665,1150,142,1247,3,1486
SHV,5.2097,0.6261,1.5264,0.0008,4.7382,3083,322,2636,2,2986
BTR,6.3481,0.4581,1.7179,0.0008,4.6291,3996,290,3369,2,3417
HRL,3.2083,0.5758,1.1721,0.0064,4.3117,1688,147,1104,3,1843
LBB,3.9447,0.6608,1.4922,0.0156,5.2776,3085,307,2415,14,3242
ISP,4.2534,0.4213,1.3758,0.0320,6.7970,3384,219,1916,19,3676
AMA,3.4523,0.6534,1.5081,0.0146,4.9662,2235,252,1834,10,2347
MAF,3.8063,0.6235,1.7088,0.0135,4.9885,3961,485,3384,22,4198
CRP,3.9682,0.7004,1.6370,0.0058,4.9035,2352,322,2065,5,2419
ACY,2.7202,0.3915,6.9993,0.0333,4.5589,1496,143,2829,32,1154
MHK,4.3376,1.2669,2.4520,0.0023,4.7407,590,184,745,1,664
PBG,8.5753,0.7821,3.2062,0.0349,4.4532,333,38,407,5,233
