Dest,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
LWB,5.6490,2.0700,2.6184,0.0000,9.5668,124,45,174,0,176
SLN,10.4261,0.7592,2.1250,0.0000,10.0339,123,12,191,0,222
BKG,3.8841,0.0000,5.0066,0.0000,8.5000,50,0,49,0,41
HHH,5.3070,3.1502,1.8797,0.0289,7.8032,210,58,273,5,305
PRC,4.4384,0.2300,1.6150,0.0000,6.6263,77,8,82,0,110
EAR,7.5944,1.8441,1.6644,0.0000,4.1469,63,8,69,0,89
DRT,1.5251,0.3258,1.6647,0.0000,2.7721,57,18,86,0,64
CYS,8.0803,0.8115,0.7033,0.0000,3.7714,40,8,22,0,40
ART,4.4185,1.9889,2.6407,0.0556,7.0148,37,8,24,1,25
PAE,3.2522,0.1107,1.5049,0.0000,4.7989,95,8,124,0,149
PIR,8.9393,1.9302,1.8983,0.0000,5.1942,46,10,52,0,58
ATY,5.2069,2.8027,1.5690,0.0000,4.2356,47,8,33,0,36
BFM,4.9873,0.0000,6.7848,0.0000,2.4051,23,0,27,0,7
XWA,3.4689,1.6938,1.4593,0.0718,5.7177,12,4,18,1,16
