Tail_Number,AVG(TaxiIn)
N631AA,10.3095
N639AA,13.1875
N5CDAA,9.2696
N426AA,8.6089
N3CYAA,9.4186
N3JMAA,9.3758
N3AJAA,9.4449
N3JVAA,9.6157
N3ELAA,9.6469
N3CCAA,9.6457
N3FMAA,9.6347
N3DSAA,9.4969
N3AWAA,9.4545
N3FGAA,9.6768
N424AA,8.9193
N501AA,8.8104
N3KJAA,9.7247
N3HEAA,9.7632
N3DGAA,9.5194
N3AUAA,9.3948
N3FJAA,9.5617
N3BNAA,9.5123
N3GRAA,9.5979
N3KUAA,9.5865
N3BCAA,9.6529
N3LXAA,10.0386
N3AXAA,9.8587
N3LMAA,9.9711
N3DBAA,9.7605
N3HTAA,9.6862
N3AEAA,9.7159
N3KPAA,9.6577
N3EMAA,9.5938
N3EJAA,9.6496
N3HHAA,9.6285
N3BBAA,9.7805
N3ERAA,9.7445
N439AA,8.9637
N202AA,8.0447
N520AA,9.5163
N4XWAA,9.1268
N4WMAA,8.9457
N513AA,9.0534
N474AA,8.8156
N4YCAA,8.9654
N550AA,8.7510
N4WLAA,8.7313
N3EGAA,9.7042
N3EWAA,9.6616
N3JSAA,9.6041
N3JKAA,9.5539
N3GEAA,9.7823
N3DMAA,9.6596
N3FHAA,9.6613
N3KSAA,9.5208
N3ENAA,9.4339
N3LJAA,10.1831
N3BPAA,9.6358
N3HSAA,9.6138
N3DWAA,9.5127
N3DJAA,9.4337
N3KGAA,9.7138
N3DHAA,9.6024
N5EBAA,8.8873
N5CCAA,8.4349
N5ENAA,10.0422
N5CRAA,9.1344
N5BYAA,9.4515
N633AA,8.5368
N4XTAA,9.0968
N4XCAA,8.8232
N476AA,8.2901
N582AA,9.0068
N583AA,9.0802
N553AA,8.8694
N528AA,8.7933
N466AA,8.5558
N3BEAA,9.4599
N3LCAA,9.9508
N3LTAA,10.2813
N3GKAA,9.7514
N3LPAA,9.8775
N3LKAA,10.1094
N3LVAA,10.1898
N3LRAA,10.1168
N3LHAA,9.9709
N3MBAA,10.0944
N3CMAA,9.3275
N3GVAA,9.4729
N388AA,9.9806
N346AA,9.8434
N391AA,9.8718
N3DPAA,9.6944
N3HWAA,9.4187
N3LGAA,9.9617
N3LBAA,9.6916
N3HVAA,9.9315
N3KDAA,9.7080
N384AA,10.1047
N7ARAA,12.5139
N5FPAA,10.3497
N5BVAA,9.0637
N5EHAA,10.0326
N642AA,9.4688
N5CFAA,8.6006
N5EAAA,9.7581
N5DMAA,10.0000
N5CNAA,8.8070
N5DLAA,10.3514
N5CEAA,8.1581
N3LEAA,10.1969
N3JDAA,9.5284
N3LUAA,9.8877
N026AA,9.2295
N3BVAA,9.4063
N3CTAA,9.9122
N3CPAA,9.4878
N3CDAA,9.5618
N3DDAA,9.6280
N3LSAA,10.0707
N3MDAA,9.8356
N590AA,8.8035
N468AA,8.5502
N4YJAA,8.3834
N3CVAA,9.5041
N3MFAA,10.1789
N3MEAA,10.0053
N541AA,8.7518
N4XYAA,8.7529
N4YBAA,8.9559
N599AA,8.6837
N456AA,8.1857
N3KNAA,9.7413
N004AA,9.4208
N021AA,9.5480
N014AA,9.5282
N565AA,8.7487
N480AA,8.5946
N4XJAA,8.9367
N4XSAA,8.9500
N559AA,9.2879
N4YLAA,8.9523
N470AA,8.6788
N395AA,10.7026
N349AA,10.9063
N3BGAA,9.7338
N494AA,8.9066
N567AA,8.8699
N493AA,8.9758
N3ASAA,9.6996
N478AA,7.7008
N4YTAA,8.8464
N4XFAA,8.9150
N473AA,8.7446
N4UCAA,8.6739
N484AA,8.4630
N467AA,8.7577
N434AA,8.8158
N499AA,8.5593
N598AA,8.3690
N569AA,8.9058
N491AA,8.7395
N578AA,8.9617
N482AA,8.8543
N3HMAA,9.7102
N3EYAA,9.6153
N438AA,8.8058
N3HKAA,9.6605
N3DNAA,9.7668
N472AA,8.8698
N3DVAA,9.5425
N025AA,9.3486
N013AA,9.2740
N005AA,9.4125
N010AA,9.2527
N008AA,9.6090
N011AA,9.4720
N3ATAA,9.2736
N7CCAA,14.4058
N5FNAA,10.7241
N7LNAA,17.3855
N3BAAA,9.2197
N403AA,8.7711
N5EYAA,10.7723
N5FLAA,9.9230
N5EVAA,10.4549
N549AA,9.1562
N557AA,9.2669
N3BSAA,9.2994
N7AWAA,11.6638
N4WTAA,8.8120
N342AA,9.7840
N345AA,11.5020
N354AA,9.2535
N348AA,9.6430
N366AA,9.1404
N5FMAA,10.6093
N015AA,9.5246
N7BRAA,11.1270
N3AFAA,9.3506
N5FFAA,10.3226
N389AA,10.4252
N370AA,8.5161
N7BKAA,13.9579
N7BXAA,12.4884
N7BWAA,12.9851
N7AMAA,12.1804
N7BJAA,11.3550
N7BHAA,10.4698
N7BPAA,12.8155
N7BGAA,12.0862
N7ABAA,12.7373
N5EUAA,10.3032
N393AA,9.8552
N5ETAA,10.6019
N5FJAA,10.5444
N5FSAA,10.1663
N5FRAA,10.1530
N5EWAA,10.2148
N5FEAA,10.1216
N5EXAA,10.4498
N5FAAA,10.3981
N5FGAA,9.9940
N5FKAA,10.5126
N5FHAA,10.4994
N5FTAA,10.1590
N344AA,10.2917
N7LGAA,14.4872
N7BSAA,12.0847
N7BNAA,11.0000
N7LHAA,16.6790
N7AAAA,12.5404
N7BTAA,12.0745
N7ACAA,13.5421
N523AS,6.9937
N527AS,7.0869
N536AS,7.0006
N581AS,6.9510
N517AS,7.0295
N565AS,6.9662
N464AS,7.8986
N526AS,7.0954
N453AS,7.9413
N590AS,7.2308
N419AS,7.6948
N546AS,7.1626
N594AS,6.9843
N407AS,7.9599
N305AS,7.8670
N569AS,7.0672
N320AS,7.7794
N402AS,7.7778
N413AS,7.9845
N514AS,6.9581
N562AS,7.0668
N469AS,7.9371
N459AS,7.7990
