Origin,ArrDelay
CVG,5.275145048868813
CWA,3.8305367263029226
CYS,13.851657940663177
DAB,1.6581313212393642
DAL,6.905217316563046
DAY,5.201099589675176
DBQ,4.101529450048813
DCA,4.220344423134837
DEN,5.410282351735595
DFW,8.114572810017895
DHN,7.465484109386549
DIK,-4.211211211211211
DLG,-3.9099756690997567
DLH,8.724815911333788
DRO,5.84298216088859
DRT,0.7610513739545998
DSM,4.137855579868709
DTW,2.6400282443602086
DVL,6.498524106264349
EAR,-0.747737556561086
EAU,6.886909810573933
ECP,1.8720480893087161
EFD,56.0
EGE,14.148698884758364
EKO,-1.3559163284420856
ELM,2.166231830040999
ELP,4.134298386281223
ENV,0.0
ERI,3.040568720379147
ESC,8.010873041253598
EUG,6.061634615384615
EVV,5.359914759982055
EWN,3.6009805472086036
EWR,8.16671454547497
EYW,3.5572543098024414
FAI,-4.309065371334933
FAR,5.969094393866794
FAT,6.525550651578221
FAY,5.510708801422452
FCA,-0.2985026565770407
FLG,0.7115267082263782
FLL,6.904560071132029
FLO,5.517647058823529
FNT,1.669475700263347
FSD,7.633110260172494
FSM,4.9918138229446845
FWA,7.107528332433891
GCC,1.0440928270042193
GCK,6.313080771979986
GEG,1.0430052272525914
GFK,0.8551201011378002
GGG,5.334862385321101
GJT,-0.6316605078078436
GNV,6.9598680593732825
GPT,3.4390886631896787
GRB,3.8905969766846016
GRI,7.885632183908046
GRK,5.033283971511177
GRR,3.9239727628733414
GSO,4.3328044596912525
GSP,4.777581203037411
GST,2.374695863746959
GTF,-0.804204139126666
GTR,4.521295047215263
GUC,8.216823785351703
GUM,1.0957405236420477
HDN,7.6424947145877375
HGR,21.996884735202492
HHH,11.309360318033972
HIB,0.7380585516178737
HLN,-2.474184782608696
HNL,-0.08763450777839267
HOB,1.0402420574886535
HOU,6.075980383515666
HPN,9.133841456415437
HRL,3.896241586753231
HSV,2.328370633624692
HTS,13.589308176100628
HVN,3.87038789025544
HYA,13.753191489361702
HYS,7.85924869234427
IAD,4.291434855475614
IAG,6.240734444066644
IAH,4.78786055996614
ICT,4.05607009305157
IDA,-0.021254625247396953
IFP,11.793956043956044
ILG,22.86
ILM,3.166105888174171
IMT,3.541778174249182
IND,3.185802922142905
INL,0.04060434372049103
ISN,0.9258625230445088
ISP,3.1484818656772924
ITH,9.015556131708582
ITO,-0.3312681383898001
JAC,7.539976883260465
JAN,4.183719886278618
JAX,3.853854367565867
JFK,3.719866533127218
JLN,9.292090395480226
JMS,5.309891485809683
JNU,-0.4734323284730298
KOA,-1.4415601470845736
KTN,-0.5454619854325231
LAN,5.4666570230001446
LAR,3.6029364826045325
LAS,4.831846838925896
LAW,6.758689839572193
LAX,4.185630813999199
LBB,4.626421025697262
LBE,1.4987787857641313
LBF,0.48576214405360135
LBL,7.961214165261382
LCH,1.3435321913762552
LCK,16.38886267107126
LEX,5.15603012995613
LFT,6.062844123789634
LGA,5.372256759793274
LGB,3.45499526718871
LIH,-0.46107175806476836
LIT,3.4372510865809525
LNK,4.605169478408915
LRD,4.309915210243987
LSE,4.166819221967963
LWB,17.480257856567285
LWS,-6.989255765199162
LYH,1.2246340232205957
MAF,4.325571527077918
MBS,4.11527450319973
MCI,1.9991198819898104
MCO,6.629245735300365
MDT,4.2962691355761295
MDW,4.820472266922668
MEI,17.185185185185187
MEM,3.5065984981626457
MFE,4.4837594645012615
MFR,8.24467727476468
MGM,6.8383536743702935
MHK,5.56849210001534
MHT,-0.137686358925297
MIA,6.894384488563085
MKE,2.2970379430790766
MKG,3.9838709677419355
MLB,0.6407217035560684
MLI,6.685590867016353
MLU,6.932214994864772
MMH,22.24200913242009
MOB,5.894694717585182
MOT,3.3108952116585706
MQT,13.029700854700854
MRY,6.798760305711019
MSN,3.701281149331655
MSO,1.4337618781442147
MSP,0.9715884735471331
MSY,4.412885430884693
MTJ,5.224476546015257
MVY,17.018296169239566
MYR,5.442102949794882
OAJ,5.4600450498766495
OAK,4.565536887251489
OGD,18.7012987012987
OGG,0.48949807390033145
OGS,15.45045045045045
OKC,3.5367051570092483
OMA,2.3710168269455862
OME,-1.0739407366380505
ONT,3.604816476306664
ORD,8.652408700306086
ORF,4.937310641481204
ORH,10.42549782558938
OTH,23.439448441247002
OTZ,-0.4748062015503876
OWB,18.248826291079812
PAE,8.730911330049262
PAH,7.675761266747869
PBG,8.350974120383832
PBI,7.460557993477998
PDX,0.893842339776877
PGD,4.283426888745744
PGV,9.790983606557377
PHF,3.823536178534453
PHL,4.500756759135006
PHX,3.478901368730703
PIA,6.8022857142857145
PIB,10.938721136767318
PIE,1.4955298448593215
PIH,-3.512170589418628
PIR,7.482496194824962
PIT,1.0986220768583574
PLN,5.8567187809222245
PNS,2.6175510783200906
PPG,30.801003344481604
PRC,12.947584789311408
PSC,2.4845763131813676
PSE,2.331679483999008
PSG,-1.2993384785005513
PSM,12.663461538461538
PSP,5.4581337864977595
PUB,9.095171773444754
PVD,1.7381507484435024
PVU,12.134585289514867
PWM,6.421547732784596
RAP,5.291712823759034
RDD,7.724533185431688
RDM,7.660568618042227
RDU,5.9950754291659445
RFD,7.713080168776371
RHI,2.9360876512211824
RIC,5.916367882125624
RKS,-0.5211791642816257
RNO,4.050422518086206
ROA,7.016725579791362
ROC,3.464544582933845
