Tail_Number,AVG(TaxiOut)
N627AS,14.6483
N614AS,13.6813
N468AS,17.8342
N519AS,16.7823
N306AS,17.4043
N403AS,17.7577
N318AS,17.4844
N513AS,16.9465
N626AS,14.8934
N512AS,16.5753
N409AS,17.8574
N317AS,17.4867
N596AS,16.4958
N534AS,16.5808
N612AS,13.6827
N423AS,17.7461
N586AS,16.5197
N524AS,16.3928
N557AS,16.7074
N588AS,16.8032
N583AS,16.6989
N587AS,16.7212
N558AS,16.6534
N597AS,16.4339
N559AS,16.8399
N560AS,16.5049
N566AS,16.6918
N531AS,16.7540
N537AS,16.6256
N585AS,16.6134
N518AS,16.4205
N535AS,16.5801
N538AS,16.4674
N765AS,9.9362
N763AS,9.9258
N506AS,16.4150
N793AS,13.2559
N779AS,13.4610
N778AS,13.7834
N564AS,16.6382
N549AS,16.7646
N715JB,17.3213
N834JB,17.3094
N585JB,17.1653
N552JB,17.3661
N805JB,17.5324
N709JB,17.5751
N760JB,16.9347
N607JB,17.3518
N663JB,16.9616
N589JB,17.2620
N618JB,16.9961
N659JB,17.1544
N705JB,16.9176
N806JB,17.3903
N523JB,16.9783
N625JB,17.3109
N623JB,17.1589
N562JB,17.0137
N536JB,17.3510
N506JB,17.1457
N519JB,17.1653
N524JB,17.1525
N640JB,16.9512
N586JB,17.0860
N346JB,16.9321
N633JB,17.0771
N766JB,17.2174
N657JB,16.9806
N775JB,17.2625
N706JB,17.0099
N784JB,17.1554
N645JB,17.2685
N712JB,17.2637
N637JB,17.0267
N746JB,17.2631
N635JB,17.2274
N537JB,17.3026
N563JB,17.3506
N593JB,17.0311
N729JB,16.8113
N505JB,17.0128
N599JB,17.1611
N595JB,16.9518
N503JB,17.1824
N608JB,17.2191
N656JB,16.8899
N627JB,17.1106
N913JB,20.5691
N903JB,20.1797
N907JB,20.1248
N905JB,19.8608
N566JB,17.0559
N510JB,17.2522
N588JB,16.9373
N556JB,16.8229
N612JB,17.1288
N504JB,17.1327
N644JB,17.0715
N526JB,17.2194
N527JB,17.0460
N646JB,17.0823
N565JB,17.0051
N636JB,17.0391
N605JB,17.1078
N583JB,17.2683
N559JB,16.9168
N597JB,17.0845
N353JB,16.8279
N323JB,17.0278
N281JB,17.2702
N348JB,16.6695
N292JB,17.1243
N274JB,16.8453
N179JB,16.9680
N206JB,16.9941
N351JB,17.1085
N193JB,16.8827
N318JB,16.7086
N304JB,17.2486
N249JB,17.1203
N316JB,16.9874
N339JB,16.7461
N294JB,17.3031
N324JB,16.6812
N231JB,17.0248
N373JB,17.0142
N178JB,16.9443
N355JB,16.5778
N641JB,17.2736
N568JB,17.0503
N794JB,17.2536
N648JB,17.3548
N655JB,17.1642
N587JB,17.1253
N624JB,17.2595
N708JB,17.2581
N516JB,17.3875
N634JB,17.2124
N521JB,17.2354
N579JB,17.1381
N651JB,17.0257
N613JB,17.2405
N796JB,17.0831
N809JB,17.2483
N509JB,16.9657
N508JB,17.3588
N558JB,17.2112
N594JB,17.2137
N569JB,17.2798
N584JB,16.9551
N639JB,16.9902
N653JB,17.2420
N944JB,21.6422
N935JB,21.2597
N929JB,20.9728
N934JB,21.3023
N943JB,21.6306
N923JB,21.1235
N937JB,21.1202
N942JB,21.1750
N945JB,21.5789
N662JB,17.0266
N531JB,17.4159
N643JB,16.9426
N632JB,17.0611
N661JB,17.1549
N821JB,17.2800
N768JB,16.8900
N554JB,17.1455
N789JB,17.3192
N827JB,17.3139
N649JB,16.9736
N590JB,16.8336
N603JB,17.0786
N779JB,16.8839
N592JB,17.0958
N804JB,17.4520
N621JB,17.3925
N535JB,17.1567
N763JB,16.8808
N591JB,17.3552
N520JB,17.2523
N570JB,17.1979
N793JB,17.0244
N665JB,17.3131
N517JB,16.9927
N807JB,17.3584
N828JB,17.4627
N267JB,16.9911
N328JB,17.0003
N184JB,16.9371
N534JB,16.9241
N629JB,17.0534
N598JB,17.2020
N547JB,17.3238
N638JB,17.3718
N561JB,17.3246
N658JB,17.1154
