Dest,Description,count(c.Description)
CLL,Weather,172
GCK,Weather,62
GCK,Carrier,18
CHA,National Air System,138
GPT,Carrier,83
GPT,National Air System,59
MHK,Weather,103
CRP,National Air System,91
EYW,Carrier,31
MIA,National Air System,314
MLU,Weather,108
MYR,National Air System,96
MYR,Carrier,211
SRQ,Carrier,71
ILM,Weather,324
FAY,Weather,167
PHF,Weather,107
DAB,Weather,105
MOB,Carrier,112
SHV,National Air System,92
CRW,Weather,229
LCH,Carrier,21
MEI,Carrier,39
ROA,National Air System,65
ALB,National Air System,126
BTR,National Air System,117
PWM,Carrier,135
PWM,National Air System,507
BRO,National Air System,57
CAK,National Air System,278
LFT,National Air System,107
ELM,Weather,34
JAN,Carrier,183
TRI,Weather,69
MBS,Weather,210
DHN,National Air System,10
ITH,Carrier,4
GTR,Carrier,7
GTR,Weather,33
DHN,Carrier,12
AEX,Carrier,39
OAJ,Weather,150
MGM,Carrier,52
BGM,Weather,46
BGM,Carrier,2
AVP,Carrier,31
GNV,Carrier,55
ABY,Carrier,5
AVL,Carrier,93
SCE,Carrier,5
MGM,National Air System,18
VLD,Carrier,4
BTV,Carrier,79
AGS,Carrier,66
ILM,Carrier,93
CSG,Carrier,7
ISN,Weather,49
ATW,Carrier,28
GUC,National Air System,2
ILG,Carrier,3
UST,Carrier,5
SUX,Weather,55
GCK,National Air System,6
MQT,National Air System,11
TXK,National Air System,26
MLB,Weather,68
PNS,Carrier,116
CWA,Carrier,9
FLL,Security,120
CPR,Carrier,6
ISP,Carrier,103
HOU,National Air System,252
BGR,Carrier,32
AGS,Weather,105
LBE,Weather,91
FLG,Weather,140
PSC,Weather,143
CIU,Carrier,13
MTJ,Weather,72
MTJ,National Air System,14
MRY,National Air System,85
BIL,Weather,67
DRO,National Air System,28
YUM,Weather,14
JMS,National Air System,30
CMX,Carrier,7
ABR,Carrier,6
DLH,Carrier,17
CIU,Weather,50
HDN,Weather,57
MMH,Weather,176
MFE,Carrier,136
LAR,Weather,90
OTH,Carrier,2
MFR,Carrier,14
HLN,Weather,22
FAT,National Air System,41
BZN,Weather,114
ESC,Carrier,2
CNY,Weather,27
APN,National Air System,13
CDC,Weather,4
ACY,Carrier,110
OGG,Weather,40
KOA,Weather,6
PSG,Weather,23
JNU,National Air System,2
WRG,Weather,19
YAK,Weather,20
SCC,Weather,17
YAK,Carrier,12
CDV,Carrier,15
OME,Weather,97
OTZ,Weather,71
FAI,Weather,53
ADQ,Carrier,15
SJU,National Air System,342
STT,Carrier,34
ORH,Carrier,45
MSY,Security,5
BWI,Security,6
HOU,Security,1
MCO,Security,29
ADK,Weather,21
PSE,Carrier,35
MFE,National Air System,74
CLL,National Air System,60
MLU,National Air System,44
PNS,National Air System,99
AEX,National Air System,73
LNK,Carrier,16
TRI,Carrier,37
PHF,Carrier,55
ROW,Carrier,22
FSM,National Air System,26
LRD,Carrier,57
LBE,Carrier,33
IAG,Carrier,22
FLG,Carrier,19
LAR,Carrier,11
SBA,National Air System,151
RDD,National Air System,29
CLD,National Air System,1
EAU,Carrier,8
BJI,Weather,20
BTM,Carrier,2
YUM,Carrier,19
GUM,National Air System,3
STX,National Air System,14
MSO,Carrier,12
DIK,Carrier,3
MKG,Carrier,6
BTM,National Air System,3
EKO,Weather,26
GCC,Carrier,6
INL,Weather,28
HIB,Weather,35
FAI,Carrier,79
PSG,Carrier,19
DAB,Carrier,35
HRL,National Air System,48
ILM,National Air System,103
CSG,National Air System,9
BQN,National Air System,73
AUS,National Air System,231
HIB,Carrier,9
RHI,Carrier,4
SGU,Carrier,3
BFL,National Air System,27
MFR,National Air System,79
INL,Carrier,7
IMT,Carrier,1
GUM,Weather,10
RNO,National Air System,79
LCH,National Air System,60
TYR,National Air System,37
ECP,National Air System,37
IAH,Security,6
LGB,National Air System,47
LBE,National Air System,10
RDM,Carrier,11
SPI,National Air System,36
CMX,National Air System,15
GFK,Carrier,4
EKO,National Air System,9
BPT,National Air System,17
JAC,Carrier,33
BZN,National Air System,12
ECP,Carrier,126
ACK,Weather,50
MLB,Carrier,26
CSG,Weather,28
DHN,Weather,36
BQK,Weather,32
UST,Weather,5
LAW,National Air System,13
GNV,National Air System,20
HYA,Carrier,1
GST,Weather,7
SCC,Carrier,11
LGA,Security,11
ISN,Carrier,2
PAH,National Air System,21
RDM,National Air System,60
SMX,Weather,23
MTJ,Carrier,32
PIH,Carrier,1
EKO,Carrier,2
BGR,Weather,128
MQT,Weather,116
IDA,Carrier,3
SMX,National Air System,2
HYS,Carrier,5
GUC,Carrier,3
TWF,Carrier,2
HNL,National Air System,7
ISP,National Air System,41
SNA,Security,1
SJC,Security,2
STX,Weather,41
JMS,Carrier,10
DVL,Carrier,10
SUN,Carrier,4
OME,National Air System,1
ACK,National Air System,30
BRW,Carrier,13
PSE,National Air System,37
TPA,Security,6
MIA,Security,4
DEN,Security,5
LAS,Security,6
OAK,Security,3
PHX,Security,15
SAN,Security,4
SGU,Weather,32
RKS,National Air System,10
BLI,Carrier,23
ITH,Weather,27
GFK,Weather,82
OTH,National Air System,11
ACV,National Air System,44
LIH,Weather,9
MMH,National Air System,12
OTZ,Carrier,18
GEG,National Air System,25
CIU,National Air System,4
MQT,Carrier,1
EGE,National Air System,8
BIL,Carrier,15
ADK,Carrier,4
DAB,National Air System,9
SUN,National Air System,3
GFK,National Air System,6
ABR,National Air System,3
BRD,National Air System,2
INL,National Air System,5
HIB,National Air System,3
RHI,National Air System,3
IMT,National Air System,1
OAJ,National Air System,27
STX,Carrier,9
SGU,National Air System,3
CDV,Weather,25
PBG,Carrier,12
BGR,National Air System,181
KTN,National Air System,1
ITO,Weather,4
HDN,National Air System,9
GTR,National Air System,4
LAX,Security,13
BOS,Security,10
JFK,Security,17
ORD,Security,8
GST,Carrier,1
ITH,National Air System,3
GRI,Carrier,18
VLD,National Air System,5
SFO,Security,6
PDX,Security,1
MSP,Security,5
ABY,National Air System,7
OKC,Security,2
SEA,Security,2
SLC,Security,1
LWS,Weather,3
HDN,Carrier,2
GUM,Carrier,5
PGD,Carrier,18
PGD,Weather,43
DFW,Security,14
CLT,Security,9
PHL,Security,9
EWR,Security,14
AUS,Security,3
SWF,Security,1
PBI,Security,3
CLE,Security,2
IAG,Security,2
ATL,Security,9
ACY,Security,4
BQN,Security,2
DTW,Security,6
PBG,Security,1
CAK,Security,1
PLN,National Air System,9
PVD,Security,2
SJU,Security,5
JAX,Security,4
BDL,Security,1
SYR,Security,1
ALB,Security,1
HPN,Security,3
BNA,Security,1
RSW,Security,1
RDU,Security,1
CHS,Security,1
RIC,Security,1
PIT,Security,1
ORH,Security,1
BUF,Security,1
MYR,Security,2
MCI,Security,1
LBE,Security,1
IAD,Security,1
LWS,Carrier,2
EYW,National Air System,16
PHF,National Air System,5
MLB,National Air System,5
BQK,National Air System,7
FAY,National Air System,17
PBG,National Air System,2
MDW,Security,1
FNT,Security,1
BGM,National Air System,7
EWN,National Air System,9
STS,Weather,132
PIB,Weather,31
MEI,Weather,39
STS,Carrier,11
AGS,National Air System,13
MVY,Weather,10
SWF,National Air System,4
STS,National Air System,44
HLN,Carrier,1
STT,National Air System,40
HYA,Weather,1
CDV,National Air System,1
WYS,Weather,1
WYS,National Air System,1
BLI,National Air System,1
ORF,Security,2
TLH,National Air System,50
UIN,Weather,67
CKB,Weather,31
UIN,National Air System,28
SFB,Weather,127
PIE,Weather,58
PSM,Weather,4
SFB,National Air System,6
AZA,Weather,57
OGD,Weather,2
OWB,Weather,3
OWB,National Air System,1
CKB,National Air System,9
OGS,Weather,18
HVN,Weather,91
LYH,Weather,29
HVN,Carrier,26
LYH,Carrier,29
MEI,National Air System,8
PIB,National Air System,6
CGI,Weather,62
SFB,Carrier,39
USA,Weather,21
AZA,Carrier,34
PVU,Weather,7
SWO,Weather,30
ABI,National Air System,27
GGG,National Air System,17
SPS,National Air System,16
PIA,Security,2
BFF,Weather,26
LBF,Weather,27
PIE,Carrier,33
USA,Carrier,5
SJT,National Air System,28
SWO,National Air System,16
ROW,National Air System,3
BLV,Security,2
VPS,Security,1
SWO,Carrier,2
HTS,National Air System,5
PGV,Weather,46
FLO,Weather,2
LBL,Weather,20
SHD,National Air System,11
SHD,Weather,24
PGD,National Air System,2
HTS,Carrier,12
JLN,National Air System,13
HVN,National Air System,25
SLN,Weather,44
LWB,Carrier,7
LWB,Weather,30
CGI,National Air System,16
ACK,Carrier,7
OGS,Carrier,11
PVU,Carrier,3
RFD,Carrier,3
BLV,Weather,6
LCK,Weather,7
SCK,Carrier,5
PIE,National Air System,1
USA,National Air System,2
HTS,Weather,19
PGV,Carrier,20
SHD,Carrier,6
BKG,Carrier,3
MVY,National Air System,6
LCK,Carrier,2
BLV,Carrier,2
SPN,Carrier,1
HHH,Weather,60
HYA,National Air System,1
SLN,National Air System,4
DLG,Weather,3
ANC,National Air System,4
SBA,Security,1
TUS,Security,2
SBP,Security,1
IND,Security,1
MKE,Security,1
SMF,Security,1
SPN,Weather,6
PGV,National Air System,1
SPN,National Air System,1
RFD,Weather,6
CYS,National Air System,1
LBL,National Air System,2
LBF,Carrier,3
EAR,Weather,25
SCK,Weather,2
DRT,National Air System,2
ART,Weather,30
PRC,Weather,13
LWB,National Air System,6
EAR,National Air System,5
CYS,Weather,30
BFF,Carrier,2
VEL,National Air System,4
FAI,National Air System,1
ART,Carrier,2
HHH,Carrier,4
SCK,National Air System,1
HOB,Carrier,2
CNY,Carrier,1
VEL,Carrier,1
UIN,Carrier,5
BFF,National Air System,2
DRT,Weather,8
RAP,Security,1
ATY,Weather,23
PIR,Weather,22
ATY,National Air System,4
PIR,Carrier,3
PAE,Weather,26
HHH,National Air System,2
PAE,National Air System,14
CKB,Carrier,2
OGS,National Air System,4
ATY,Carrier,1
BKG,Weather,6
BFM,Carrier,3
PIR,National Air System,4
CNY,National Air System,6
BUR,Security,2
LYH,National Air System,1
IAG,National Air System,1
OGG,National Air System,4
CYS,Carrier,1
CGI,Carrier,2
STS,Security,1
BFM,Weather,1
HGR,Weather,1
XWA,Weather,2
LBF,National Air System,2
KOA,National Air System,1
LIH,National Air System,1
EAR,Carrier,1
PRC,National Air System,1
