Origin,AVG(CarrierDelay),AVG(WeatherDelay),AVG(NASDelay),AVG(SecurityDelay),AVG(LateAircraftDelay),COUNT(carrierDelay),COUNT(WeatherDelay),COUNT(NASDelay),COUNT(SecurityDelay),COUNT(LateAircraftDelay)
PBG,7.3184,0.3327,4.3492,0.0058,6.3457,291,37,526,1,346
IAG,3.6974,0.6647,4.9619,0.0051,5.7161,272,48,430,1,279
LBE,1.8976,0.2901,4.4885,0.0140,5.2088,319,29,708,5,418
CLD,0.7473,0.6349,2.5741,0.0000,5.1888,11,6,74,0,59
LAR,5.4749,1.1823,3.7418,0.0284,3.4855,129,32,287,5,200
SBA,3.3502,0.2417,4.7871,0.0046,6.2873,971,90,3505,5,3583
SBP,3.8402,0.5628,5.2555,0.0199,6.6797,845,95,2488,18,2354
DVL,6.9259,2.2807,2.0348,0.0102,4.1509,123,54,217,4,181
FLG,2.7686,0.9253,1.3753,0.0185,3.6558,246,88,513,5,551
SUN,2.5731,0.7162,3.8117,0.0192,5.0426,183,44,595,9,439
FCA,2.9450,0.5286,2.1940,0.0044,3.7607,335,81,897,2,801
MRY,3.2517,0.3694,3.0791,0.0052,7.3342,549,60,1808,7,1918
SAF,6.9246,0.5824,2.1061,0.0035,6.3602,514,43,698,2,773
GCC,4.0842,0.6730,2.0907,0.0063,3.9914,140,36,323,2,301
PAH,4.3340,0.9403,4.6239,0.0022,7.0365,125,21,381,1,418
CEC,0.8684,0.0000,9.5842,0.0000,7.9474,5,0,24,0,28
MFR,4.6654,0.5836,4.7396,0.0063,6.2331,774,101,1905,6,1888
MBS,4.4070,0.8430,2.5301,0.0000,5.9693,415,71,927,0,1082
MLI,4.7721,1.1878,2.6099,0.0073,5.6064,1297,321,1997,5,1964
CID,3.9494,1.1589,2.9379,0.0051,6.0007,2251,627,3651,15,3801
RAP,3.9264,1.4744,2.4378,0.0069,5.6991,914,279,1557,9,1831
EUG,3.4783,0.3256,4.5847,0.0060,5.4665,849,85,2199,8,1954
RDM,4.4350,1.0231,5.1161,0.0065,5.9285,650,158,1848,10,1655
FWA,6.8018,0.8096,2.7285,0.0081,4.9648,2246,339,2734,9,2435
MKG,3.5331,0.2151,3.6347,0.0000,7.4389,83,12,349,0,461
CMX,8.2662,2.0579,4.2931,0.0384,6.1360,181,43,391,8,384
MOT,5.6437,1.5507,1.8871,0.0788,4.0829,407,133,715,20,721
BFL,4.1842,0.2061,2.2728,0.0019,4.2941,473,25,805,3,890
GJT,2.8742,0.6715,1.4899,0.0015,2.9495,464,120,966,2,891
ASE,5.4773,1.7114,4.3420,0.0221,9.9630,1857,586,3552,21,3931
ACV,4.8563,0.7721,5.1823,0.0279,8.8636,264,24,913,4,1061
