CityName,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Chicago,38.4488,35.9105,30.8634,30.0726,31.9334,40.2858,35.5542,33.0875,30.1988,22.1519,36.8492,35.0849,29.3311,37.1543,32.4732,27.8575,33.7729,34.1325,46.1176,39.0951,31.4222,28.1312,29.0481,38.4593,36.7515,34.4594,36.3409,38.5222,34.1113,41.1782,45.5655,38.5241,31.1033,33.0997,29.5168,35.9841,37.7333,38.396,26.9765,32.1316,44.0041,44.5618,40.2452,45.641,39.9918,31.4171,38.3875,33.1535,46.7086,45.3188,38.0564,41.9505,43.3854,44.9145,50.0708,42.6641,40.8541,33.3849,35.1812,36.5401
Christiansted,32.0513,39.0,26.3111,33.2,31.6154,23.6765,27.3571,20.3871,86.8077,48.75,16.5455,36.24,57.4828,129.1111,37.075,43.3684,29.7692,47.64,34.3243,28.3333,29.3571,45.0,30.7857,19.25,36.1333,41.4167,32.7,35.2222,49.1364,44.0556,62.4286,38.52,40.9231,35.75,29.65,37.3261,44.0732,40.8421,28.1,24.6,57.8889,39.5278,52.6923,45.4865,103.125,43.0625,47.5652,43.1395,26.2273,30.0588,70.0,28.625,34.7778,41.2222,19.8519,35.6452,14.5,16.6,21.2308,32.4815
Cincinnati,37.3813,42.6623,36.2196,43.5154,41.1202,47.9609,49.3591,37.548,39.1517,27.884,36.912,50.4577,37.2242,49.8934,47.5575,44.7251,41.6596,39.6109,47.2097,56.6622,43.793,40.6462,27.5333,50.0937,43.4261,39.2637,30.0361,56.1799,36.2809,45.5746,50.7311,48.6679,40.0306,36.4965,42.0791,39.5034,40.6228,45.4685,38.6171,45.4987,52.3972,47.7001,50.0784,51.5092,46.9096,38.299,41.8566,33.8725,45.3592,49.5694,46.3864,49.5447,51.3406,54.6086,53.5988,48.8315,46.7256,42.578,39.1073,41.7004
Clarksburg/Fairmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.75,42.0,67.5926,129.6364,96.3889,74.0667,78.25,51.3333,105.0833,132.4118,108.5714,103.625,100.7826,27.3333,80.05,99.2632,110.875,21.1667,93.8929,63.2424,65.9444,80.9412,129.0,124.8571,121.1818,97.8696
Cleveland,34.8731,39.5111,37.1795,35.2058,40.1194,43.3486,38.6881,35.0263,33.9681,31.3714,39.1258,43.0108,35.1203,44.521,36.5771,32.9213,30.2679,37.7369,51.5644,46.2074,41.2751,38.6873,37.498,42.2367,48.6954,38.2147,46.6643,56.3486,45.3676,47.6222,46.9604,41.9739,42.0798,36.3179,33.9022,41.0788,45.8127,41.9989,41.4712,39.1576,47.0692,44.1228,50.3831,50.0465,41.0476,40.3141,42.1265,36.3461,50.5757,50.1438,40.2314,55.9153,46.4375,55.034,59.5164,55.0735,44.6728,38.5188,37.3809,41.8466
Cody,47.7692,30.2941,26.5455,14.1,62.6,40.6452,40.6842,31.3125,10.0,16.0714,23.0,34.1333,160.0833,40.1111,63.5385,53.6,7.5,32.0526,32.0976,44.8205,74.1818,55.875,96.3333,32.3333,39.3529,103.25,94.25,51.6,24.8571,43.25,49.2941,38.5556,43.6,19.1,212.5714,45.6087,64.75,101.8462,33.875,46.2632,70.72,27.4545,15.5,30.2381,39.15,79.3333,134.5833,117.9231,58.5455,112.75,269.5,50.0,70.5385,64.0769,49.1667,63.0,52.0667,19.8,,17.0
College Station/Bryan,55.1912,37.525,33.16,37.4318,57.3913,53.7209,53.625,44.4,21.5333,45.5,31.9355,46.5,77.3333,127.75,85.75,41.9,36.7857,53.4839,47.6667,63.0,48.381,31.1765,58.3889,28.125,65.1071,26.6364,69.3,72.1944,75.3542,144.6364,27.6667,40.9286,52.9286,64.9444,69.9231,117.6154,70.9615,63.1538,69.9259,67.2105,68.15,77.2449,82.8235,148.4151,77.6585,47.2895,53.3636,79.0392,54.6774,45.1471,63.881,36.1111,62.4583,64.0833,68.878,89.9459,57.28,46.0,36.7692,54.8966
Colorado Springs,69.0437,37.3188,45.4306,60.8794,45.8742,59.8458,58.7278,38.8854,31.6154,44.5766,49.443,46.2474,47.9114,52.3858,49.637,43.962,50.5309,53.2754,48.9463,52.1347,32.2727,49.349,32.0379,69.5977,54.0049,67.042,62.5369,54.1104,59.8031,56.5561,68.5668,56.292,48.3593,44.9219,42.6466,58.7536,64.4444,59.9619,41.3709,58.0446,63.4655,70.3592,59.9739,79.1846,64.2679,59.5813,56.6649,50.4724,60.5618,98.7449,64.7614,86.7973,70.416,65.4514,66.8441,69.6437,54.1311,86.2795,66.6557,53.2027
Columbia,54.2772,45.3113,47.0288,40.0915,54.7602,48.7465,47.9048,44.7632,31.874,49.7258,46.9684,70.3846,53.7685,57.1404,49.7455,37.4362,61.21,58.0508,71.8016,65.5,47.9605,42.68,45.6377,70.5068,64.9072,48.6034,65.2609,78.6966,52.04,53.5814,59.7159,50.6522,35.5909,49.931,28.0345,60.1594,49.3946,57.3778,42.0791,42.6457,52.9474,63.8745,49.1015,64.9175,50.617,60.5172,36.4902,48.824,44.6382,56.4663,37.076,46.6681,48.9202,60.3956,51.496,50.3025,47.9053,40.1903,31.4394,37.0743
Columbus,40.1749,39.0938,38.6091,35.0585,42.3051,38.8035,40.1178,44.9306,35.9622,33.2823,28.7917,35.7382,32.4581,35.816,30.6679,28.3501,32.4162,36.2808,48.6948,45.8604,28.8745,28.6089,28.7339,34.0268,40.743,31.2208,31.558,47.6918,32.8727,41.6341,44.0497,32.7001,33.8016,31.1535,32.4352,38.1325,46.9766,40.571,32.3564,38.1843,40.9849,45.6295,47.5033,48.9579,45.1974,34.1205,46.8931,37.3546,43.95,45.0378,34.1267,47.427,40.5205,46.6778,47.7567,44.0991,39.2349,32.9934,35.0504,40.5641
