Dest,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
AUS,31.0314,30.1741,27.3988,28.3731,36.6065,33.9015,31.114,31.7115,23.7514,29.0155,48.9671,31.5436,24.7241,29.1353,29.715,27.2021,27.4323,35.2972,41.0557,36.7539,26.4631,23.5594,22.6473,31.1419,32.4551,25.4559,26.6352,31.6943,30.6569,33.9179,34.8623,33.3994,27.287,25.448,21.9896,30.027,30.0423,28.151,25.9853,30.9744,37.929,34.3331,36.3478,38.7426,32.08,28.9267,27.5537,27.3862,27.5779,34.2473,28.6432,33.5715,39.3235,38.9701,39.3095,37.8914,27.7923,27.8673,28.8702,30.0953
AVL,35.5714,50.7358,40.141,30.3521,39.9516,38.2966,34.288,31.0392,25.5571,45.3125,42.918,67.746,37.2745,46.3125,43.3924,31.7887,37.05,50.4854,43.2587,50.5042,25.9063,42.9359,40.14,47.7931,46.1143,54.9231,31.274,76.413,45.3093,43.5778,57.3435,56.6604,80.3293,63.4674,42.4906,43.0112,58.8634,42.8636,35.1576,34.1761,41.68,61.5356,46.9129,53.5725,37.5509,36.768,32.5143,44.8673,50.268,53.3487,39.7402,47.4936,40.9189,45.0475,41.1,47.1486,49.0341,41.8464,39.7387,44.372
AVP,33.7045,28.4,29.9167,26.8108,41.6512,38.3023,52.2182,43.122,43.9143,26.7143,53.0714,24.5,26.6667,52.8286,44.75,47.375,35.5152,38.0769,50.55,59.0208,42.2353,29.675,31.4483,36.0,77.2,25.44,29.9167,52.8182,54.8,53.5,52.9057,63.025,37.5085,70.4902,34.4237,34.1277,56.5275,53.5904,46.4624,34.4382,37.1429,50.6602,41.6875,38.3373,38.3377,26.7538,42.2353,31.3684,26.3103,27.9615,30.4143,46.33,39.2887,51.2451,56.0833,45.3277,46.0127,37.9341,47.7654,38.3667
AZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9684,43.404,55.6304,41.6963,48.477,54.1509,47.5259,46.1395,36.619,51.875,37.2941,41.851,39.5331,49.2018,35.1321,33.7537,48.617,44.9447,42.9948,47.2308,52.6952,47.4121,38.0798,35.1349
AZO,42.9412,38.0,27.7059,20.7333,21.4444,48.125,24.25,28.5417,34.3684,37.6667,32.1395,33.3333,68.3103,50.7333,41.7895,38.0909,40.0526,22.9231,34.9,87.7447,54.4286,27.3902,95.3714,70.0213,92.3095,98.1628,54.3368,59.5738,55.5,53.3784,74.4194,50.1067,40.4348,48.5806,34.2083,67.8462,68.9885,45.0962,48.2143,42.0811,55.2653,34.3208,50.8772,44.0769,46.1346,50.8222,28.5333,56.1837,49.0789,58.1522,53.7,47.8182,29.4857,40.5238,52.0847,34.4333,57.0714,30.5849,43.0694,46.3827
BDL,30.1515,34.1736,29.648,32.3398,32.4286,39.504,33.2896,36.8168,30.3635,25.0387,26.2019,33.3086,30.7736,30.7165,28.3125,29.0261,29.5757,35.372,39.0972,38.6953,27.1425,23.5664,24.7846,37.9753,37.5991,25.6584,29.9039,38.73,32.6265,43.0671,44.9283,39.8453,33.0751,26.2931,25.0529,35.9078,37.0379,33.9958,31.4591,34.6349,41.675,44.3071,46.561,44.2319,37.1333,28.9562,31.7434,30.8395,38.2446,41.3686,33.9514,39.6589,39.6185,43.5202,42.7276,39.8128,28.7456,30.8046,30.9684,37.4061
BET,23.05,33.96,25.75,24.875,33.6154,52.7857,29.8462,22.3,11.1333,31.375,37.4286,13.8333,9.6667,61.4,34.3,26.75,10.0,16.5,14.3333,13.6667,11.2727,16.3636,9.6667,42.9333,18.7778,26.2222,39.5,35.6667,27.0,28.8333,36.8333,22.4,20.0,66.8182,21.1111,20.25,31.6667,27.1667,50.5714,36.3333,14.8333,41.375,29.3333,9.8333,33.8333,46.6429,19.5385,23.0909,37.9333,65.5714,12.125,44.0,27.8,17.0,29.5714,15.1765,19.875,54.4545,23.2353,34.5625
BFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,75.7143,58.3,24.3333,121.6667,51.2222,35.0,34.0,66.6923,24.9091,46.8333,27.4444,42.25,38.4167,180.1111,19.25,98.3,96.75,91.4706,91.8333,72.6667,24.7692,31.0769,65.0556
BFL,48.7831,32.4706,44.3607,39.5143,37.1935,39.8396,44.303,44.2987,35.3429,22.3478,21.283,37.0294,42.3061,70.5,40.7636,41.6098,49.6346,37.2549,47.3971,42.4533,53.5111,40.4925,40.425,39.194,34.5405,36.2273,47.5429,40.1795,54.2581,52.4561,44.7778,63.7568,53.1463,40.2308,36.8611,70.8333,52.4255,53.1833,37.7609,38.2308,46.5909,34.8043,41.4464,59.7031,50.46,50.5143,54.0167,31.5294,58.3448,48.1,46.4333,42.5806,61.9074,59.4462,62.1667,47.8625,48.9483,51.8769,33.3509,71.6804
BFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,30.125,36.2,19.0,74.75,55.2857,28.5,4.0
BGM,,66.0769,,,,20.2857,24.0833,21.5,2.0,56.875,43.25,77.5833,81.4737,49.0,33.5385,46.5455,50.0,30.0,66.5833,35.4167,12.6667,20.125,82.3636,97.1818,52.8182,51.8,50.9583,98.8182,,41.0,47.4783,73.3043,109.7059,53.6957,36.619,57.5,38.2727,42.6429,209.7778,35.375,34.8235,34.5652,56.7059,47.7931,38.6818,35.8,45.4444,55.5,77.9375,88.5625,68.9259,42.08,53.8462,64.5667,58.8462,41.4865,49.15,39.037,81.0741,38.3333
BGR,,25.5833,,11.0,40.2667,51.9048,15.8571,21.1111,20.2727,37.3333,19.3333,64.875,26.0,,,25.6,18.4762,76.7097,44.5349,79.8462,36.6563,23.2632,100.3333,,,,67.0,,48.1667,37.3902,43.9268,46.4688,31.7,40.3478,59.0,70.3462,54.125,67.6122,51.3689,44.2088,54.3293,34.2302,53.3957,49.1489,35.6095,47.6075,63.7805,59.5577,51.8657,45.8621,47.5976,56.1684,37.8065,62.9692,55.2439,40.5986,55.2688,38.7288,50.3293,57.4432
BHM,29.4518,28.3267,27.7954,25.7706,30.6215,36.0627,29.9022,34.1791,26.3773,28.0983,24.0469,31.2857,22.3268,36.9692,29.7822,32.0515,33.1303,39.1138,42.4703,37.5,30.1053,28.0076,25.7647,30.778,45.9207,35.5733,35.5918,41.7452,32.2351,46.3015,35.2155,31.5202,27.3225,30.3263,20.4978,28.8747,35.9729,38.9764,32.0969,31.7923,37.3502,42.1084,37.7275,39.7656,40.1257,31.0343,32.7921,36.5151,33.1564,42.8457,31.7016,37.8767,42.9321,47.612,45.4631,45.6794,43.1599,38.0973,28.6609,42.3827
BIL,27.4651,25.8778,30.3077,24.8514,31.4719,31.5638,29.7551,32.3243,25.0984,13.1642,35.9444,31.2358,29.9333,31.1556,22.3415,28.2439,27.75,42.1447,36.9709,39.4634,32.439,29.75,25.1429,38.6154,26.3846,31.2439,46.6885,41.8065,48.1552,34.5405,40.2752,38.4,22.3721,37.0769,25.0,45.8571,36.1212,34.9884,40.0455,38.4304,33.0588,39.2989,39.8483,33.9222,72.8814,32.1029,30.1912,22.1519,32.5244,44.8152,35.8372,30.3922,45.0732,47.4625,52.9643,51.4599,35.3494,45.8313,57.9571,55.2871
BIS,41.1803,33.848,28.2921,40.875,31.1882,37.3947,32.027,27.14,29.9103,21.4615,23.7848,30.57,49.04,51.2564,28.3125,29.5088,42.1081,41.9178,44.5536,31.0,48.6216,27.9032,29.6061,50.431,41.2222,49.1176,37.1071,60.7907,39.8958,37.9091,34.2051,36.5536,45.075,46.4912,85.2143,75.1017,49.6081,40.4304,38.8281,47.6806,49.7838,56.4248,52.5204,40.4592,36.358,33.7375,43.5185,64.6429,53.8065,81.6698,55.8636,48.3068,46.9196,66.5351,38.6034,45.5364,48.1585,37.3529,31.55,48.5203
