Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
BJI,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,
BLI,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,,8.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
BMI,18.0,26.0,9.0,10.0,6.0,8.0,3.0,5.0,1.0,0.0,8.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,2.0,5.0,9.0,2.0,1.0,3.0,1.0,2.0,3.0,0.0,3.0,12.0,12.0,1.0,5.0,7.0,13.0,2.0,11.0,6.0,9.0,6.0,7.0,23.0,11.0,3.0,3.0,6.0,11.0,10.0,4.0,10.0,1.0,3.0,2.0
BNA,95.0,421.0,160.0,34.0,42.0,93.0,56.0,45.0,20.0,21.0,36.0,64.0,167.0,54.0,28.0,27.0,15.0,35.0,101.0,47.0,7.0,24.0,5.0,72.0,54.0,28.0,57.0,56.0,10.0,28.0,37.0,88.0,94.0,12.0,10.0,37.0,192.0,89.0,170.0,58.0,60.0,80.0,112.0,121.0,63.0,45.0,54.0,37.0,185.0,135.0,151.0,183.0,138.0,107.0,132.0,123.0,64.0,58.0,40.0,49.0
BOI,29.0,7.0,2.0,2.0,6.0,8.0,11.0,8.0,7.0,3.0,5.0,16.0,10.0,8.0,16.0,10.0,2.0,13.0,13.0,6.0,3.0,4.0,5.0,13.0,14.0,10.0,5.0,6.0,4.0,2.0,3.0,6.0,4.0,13.0,6.0,5.0,20.0,6.0,6.0,6.0,8.0,7.0,8.0,5.0,4.0,4.0,3.0,6.0,15.0,33.0,14.0,9.0,5.0,11.0,3.0,5.0,17.0,3.0,10.0,14.0
BOS,648.0,1145.0,237.0,65.0,76.0,144.0,80.0,88.0,46.0,49.0,47.0,78.0,276.0,334.0,84.0,109.0,30.0,81.0,197.0,121.0,51.0,102.0,21.0,97.0,176.0,553.0,478.0,145.0,178.0,270.0,173.0,191.0,287.0,90.0,29.0,95.0,786.0,189.0,1310.0,156.0,143.0,134.0,292.0,410.0,157.0,98.0,121.0,48.0,702.0,261.0,391.0,243.0,157.0,185.0,328.0,255.0,109.0,73.0,43.0,350.0
BPT,4.0,8.0,20.0,7.0,8.0,3.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,,0.0,1.0,3.0,,,,,,,,,,,,3.0,7.0,3.0,1.0,3.0,1.0,7.0,1.0,3.0,1.0,1.0,2.0,0.0,5.0,1.0,6.0,7.0,8.0,1.0,1.0,6.0,2.0,0.0,3.0
BQK,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,8.0,0.0,0.0,4.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
