Origin,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
CIU,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
CKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,6.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,8.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CLD,4.0,8.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,87.0,161.0,110.0,41.0,48.0,93.0,54.0,36.0,14.0,19.0,35.0,55.0,65.0,72.0,35.0,24.0,10.0,40.0,78.0,52.0,14.0,25.0,14.0,56.0,48.0,32.0,77.0,57.0,44.0,43.0,42.0,59.0,75.0,20.0,4.0,31.0,113.0,69.0,163.0,46.0,53.0,109.0,108.0,146.0,49.0,30.0,56.0,45.0,194.0,120.0,75.0,104.0,86.0,88.0,143.0,130.0,55.0,25.0,18.0,49.0
CLL,5.0,21.0,35.0,9.0,18.0,11.0,1.0,2.0,0.0,5.0,2.0,5.0,1.0,0.0,1.0,2.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,3.0,1.0,1.0,12.0,4.0,0.0,0.0,0.0,9.0,8.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,6.0,5.0,4.0,3.0,10.0,16.0,8.0,2.0,4.0,5.0,3.0,2.0,2.0
CLT,129.0,469.0,109.0,39.0,34.0,67.0,44.0,107.0,19.0,21.0,24.0,40.0,589.0,132.0,26.0,37.0,27.0,44.0,155.0,84.0,25.0,71.0,9.0,50.0,154.0,83.0,151.0,85.0,59.0,72.0,170.0,115.0,300.0,31.0,5.0,45.0,841.0,213.0,412.0,219.0,232.0,1337.0,414.0,340.0,799.0,274.0,125.0,833.0,289.0,299.0,146.0,529.0,452.0,401.0,429.0,526.0,309.0,120.0,76.0,65.0
CMH,84.0,131.0,69.0,30.0,32.0,63.0,27.0,31.0,11.0,9.0,28.0,32.0,30.0,35.0,15.0,15.0,10.0,22.0,62.0,32.0,6.0,10.0,9.0,42.0,23.0,18.0,40.0,34.0,12.0,17.0,28.0,33.0,46.0,6.0,4.0,25.0,114.0,86.0,127.0,47.0,79.0,91.0,110.0,119.0,51.0,21.0,58.0,42.0,136.0,107.0,56.0,80.0,65.0,81.0,121.0,102.0,49.0,32.0,26.0,31.0
CMI,21.0,27.0,6.0,6.0,2.0,7.0,4.0,10.0,7.0,0.0,19.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,14.0,6.0,0.0,11.0,12.0,5.0,10.0,6.0,0.0,5.0,8.0,20.0,18.0,1.0,7.0,5.0,11.0,14.0,9.0,7.0,1.0,8.0,1.0
CMX,11.0,9.0,1.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,0.0,0.0,2.0,10.0,12.0,3.0,9.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,4.0,9.0,4.0,8.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,3.0,3.0,5.0,14.0,8.0,4.0,7.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,8.0
CNY,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0
COD,4.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0
COS,23.0,18.0,6.0,10.0,15.0,9.0,9.0,4.0,4.0,2.0,6.0,12.0,5.0,9.0,10.0,22.0,3.0,11.0,8.0,6.0,2.0,4.0,5.0,22.0,16.0,5.0,9.0,10.0,4.0,6.0,10.0,16.0,4.0,1.0,2.0,3.0,8.0,15.0,3.0,34.0,7.0,13.0,13.0,19.0,9.0,9.0,8.0,6.0,19.0,16.0,38.0,10.0,20.0,30.0,16.0,14.0,14.0,16.0,16.0,8.0
COU,4.0,13.0,11.0,3.0,9.0,9.0,2.0,6.0,2.0,0.0,3.0,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,9.0,20.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,5.0,3.0,29.0,11.0,4.0,70.0,19.0,11.0,11.0,6.0,5.0,5.0,2.0,9.0
CPR,3.0,4.0,1.0,5.0,4.0,5.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0
CRP,10.0,30.0,39.0,16.0,22.0,6.0,3.0,6.0,4.0,6.0,3.0,12.0,7.0,0.0,3.0,10.0,7.0,10.0,11.0,1.0,1.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,6.0,45.0,16.0,1.0,0.0,5.0,31.0,16.0,8.0,5.0,15.0,14.0,10.0,9.0,16.0,10.0,5.0,11.0,2.0,18.0,20.0,24.0,30.0,28.0,17.0,11.0,13.0,11.0,3.0,7.0
CRW,1.0,17.0,8.0,5.0,4.0,5.0,3.0,4.0,2.0,0.0,7.0,3.0,11.0,1.0,3.0,2.0,4.0,6.0,7.0,9.0,2.0,1.0,2.0,7.0,10.0,0.0,2.0,7.0,9.0,0.0,3.0,6.0,4.0,1.0,0.0,8.0,29.0,9.0,16.0,4.0,14.0,24.0,6.0,7.0,6.0,6.0,6.0,8.0,10.0,10.0,18.0,11.0,7.0,7.0,15.0,11.0,4.0,10.0,6.0,2.0
CSG,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,,,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
CVG,62.0,94.0,66.0,36.0,31.0,71.0,31.0,25.0,22.0,11.0,29.0,41.0,23.0,27.0,6.0,5.0,7.0,19.0,36.0,25.0,0.0,8.0,0.0,31.0,8.0,4.0,11.0,25.0,8.0,12.0,21.0,28.0,21.0,10.0,3.0,17.0,100.0,83.0,143.0,51.0,67.0,124.0,119.0,127.0,47.0,21.0,50.0,28.0,113.0,87.0,40.0,71.0,75.0,67.0,94.0,99.0,56.0,31.0,28.0,30.0
CWA,9.0,10.0,5.0,2.0,0.0,5.0,4.0,4.0,4.0,0.0,7.0,6.0,3.0,5.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,4.0,6.0,2.0,7.0,5.0,1.0,3.0,12.0,4.0,0.0,1.0,0.0,0.0,6.0,10.0,5.0,9.0,6.0,11.0,4.0,10.0,4.0,3.0,5.0,2.0,15.0,23.0,6.0,9.0,0.0,5.0,7.0,1.0,4.0,1.0,4.0,11.0
CYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,3.0,3.0,5.0,9.0,2.0,1.0,1.0,3.0,5.0,1.0
DAB,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,2.0,1.0,11.0,2.0,1.0,0.0,1.0,16.0,0.0,0.0,4.0,12.0,1.0,2.0,0.0,2.0,16.0,5.0,1.0,4.0,3.0,0.0,8.0,1.0,0.0,1.0,3.0,2.0,5.0,4.0,6.0,29.0,3.0,0.0,0.0
DAL,75.0,201.0,115.0,20.0,100.0,71.0,37.0,32.0,12.0,46.0,85.0,102.0,71.0,27.0,42.0,80.0,58.0,104.0,149.0,94.0,17.0,20.0,9.0,32.0,111.0,40.0,47.0,95.0,32.0,93.0,48.0,223.0,107.0,34.0,17.0,55.0,105.0,125.0,70.0,112.0,84.0,47.0,79.0,92.0,89.0,84.0,27.0,95.0,98.0,271.0,290.0,397.0,434.0,211.0,99.0,138.0,81.0,150.0,60.0,55.0
DAY,33.0,57.0,40.0,12.0,12.0,42.0,16.0,24.0,11.0,6.0,22.0,22.0,15.0,13.0,7.0,4.0,5.0,8.0,36.0,19.0,4.0,2.0,4.0,14.0,7.0,3.0,8.0,15.0,4.0,5.0,12.0,8.0,2.0,6.0,0.0,10.0,46.0,33.0,69.0,16.0,24.0,69.0,36.0,45.0,19.0,10.0,27.0,19.0,38.0,40.0,28.0,27.0,20.0,30.0,41.0,39.0,18.0,20.0,11.0,7.0
DBQ,15.0,13.0,5.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,3.0,0.0,5.0,9.0,2.0,4.0,3.0,0.0,4.0,3.0,15.0,18.0,2.0,3.0,1.0,1.0,4.0,5.0,7.0,0.0,3.0,6.0
DCA,329.0,561.0,370.0,58.0,85.0,178.0,105.0,132.0,65.0,49.0,52.0,92.0,609.0,279.0,56.0,52.0,58.0,105.0,210.0,146.0,47.0,87.0,19.0,67.0,87.0,128.0,232.0,142.0,62.0,143.0,164.0,172.0,248.0,29.0,16.0,65.0,438.0,209.0,911.0,146.0,319.0,378.0,385.0,450.0,217.0,104.0,186.0,119.0,633.0,499.0,225.0,222.0,263.0,286.0,482.0,369.0,150.0,103.0,51.0,146.0
DEN,273.0,401.0,149.0,133.0,109.0,213.0,120.0,76.0,25.0,33.0,229.0,395.0,202.0,361.0,750.0,537.0,75.0,285.0,217.0,102.0,32.0,58.0,87.0,466.0,288.0,100.0,256.0,80.0,58.0,65.0,124.0,209.0,156.0,52.0,20.0,70.0,201.0,121.0,166.0,80.0,113.0,138.0,290.0,170.0,94.0,45.0,88.0,89.0,221.0,274.0,1261.0,632.0,341.0,503.0,276.0,198.0,125.0,397.0,435.0,188.0
DFW,524.0,2000.0,1128.0,348.0,803.0,359.0,100.0,119.0,33.0,413.0,205.0,635.0,224.0,90.0,168.0,290.0,156.0,265.0,280.0,539.0,40.0,64.0,39.0,134.0,237.0,68.0,91.0,222.0,127.0,296.0,223.0,206.0,283.0,30.0,6.0,79.0,488.0,535.0,400.0,215.0,319.0,479.0,461.0,450.0,693.0,513.0,158.0,654.0,288.0,380.0,609.0,1019.0,1455.0,1680.0,685.0,659.0,266.0,563.0,97.0,194.0
DHN,0.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIK,3.0,5.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG,,,,,,0.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,3.0,,,,,,,,,,0.0,0.0,0.0,,,,
DLH,2.0,8.0,4.0,3.0,4.0,9.0,5.0,2.0,1.0,1.0,6.0,8.0,3.0,6.0,4.0,0.0,0.0,15.0,5.0,6.0,4.0,4.0,8.0,15.0,3.0,1.0,5.0,2.0,3.0,2.0,6.0,9.0,9.0,13.0,19.0,12.0,6.0,9.0,2.0,9.0,4.0,6.0,3.0,4.0,2.0,2.0,5.0,1.0,10.0,13.0,6.0,20.0,6.0,8.0,7.0,8.0,21.0,8.0,12.0,20.0
DRO,6.0,9.0,2.0,4.0,5.0,4.0,2.0,3.0,0.0,1.0,2.0,7.0,4.0,4.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,7.0,9.0,3.0,2.0,3.0,10.0,10.0,4.0,10.0,5.0,1.0,4.0,5.0,17.0,19.0,3.0,6.0,21.0,11.0,10.0,2.0,5.0,4.0,9.0
DRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
DSM,43.0,64.0,26.0,14.0,11.0,30.0,6.0,14.0,3.0,5.0,22.0,22.0,4.0,14.0,8.0,7.0,3.0,10.0,13.0,15.0,2.0,3.0,1.0,16.0,7.0,3.0,9.0,9.0,2.0,5.0,14.0,10.0,7.0,9.0,1.0,8.0,24.0,33.0,17.0,8.0,15.0,38.0,10.0,21.0,11.0,5.0,18.0,9.0,66.0,58.0,18.0,35.0,27.0,29.0,26.0,20.0,20.0,8.0,12.0,11.0
DTW,201.0,375.0,155.0,38.0,52.0,106.0,62.0,57.0,38.0,23.0,68.0,118.0,175.0,118.0,74.0,30.0,18.0,35.0,102.0,108.0,15.0,52.0,19.0,191.0,171.0,67.0,153.0,207.0,68.0,61.0,69.0,74.0,167.0,27.0,23.0,109.0,205.0,373.0,271.0,109.0,81.0,88.0,100.0,113.0,49.0,27.0,68.0,49.0,388.0,277.0,87.0,105.0,81.0,111.0,232.0,147.0,83.0,26.0,91.0,90.0
DVL,6.0,8.0,1.0,4.0,0.0,0.0,1.0,12.0,2.0,0.0,6.0,6.0,4.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,6.0,5.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,4.0,3.0
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,3.0,1.0,6.0,2.0,5.0,3.0,2.0,1.0,0.0,2.0,5.0,3.0
EAU,2.0,4.0,3.0,2.0,4.0,6.0,4.0,3.0,0.0,0.0,2.0,3.0,1.0,5.0,4.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,3.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,9.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,4.0
ECP,1.0,6.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,4.0,2.0,6.0,8.0,6.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,9.0,1.0,1.0,2.0,21.0,27.0,0.0,0.0,12.0,10.0,1.0,1.0,0.0,5.0,2.0,3.0,4.0,8.0,110.0,1.0,10.0,10.0,3.0,7.0,10.0,12.0,10.0,4.0,8.0,8.0,6.0,1.0,1.0
EFD,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGE,7.0,12.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,15.0,9.0,9.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,33.0,5.0,3.0,1.0,,2.0,0.0,2.0,1.0,1.0,0.0,1.0,8.0,16.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,22.0,20.0,10.0,38.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,15.0
EKO,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELM,4.0,12.0,5.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,5.0,3.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
ELP,18.0,15.0,7.0,8.0,15.0,11.0,9.0,13.0,6.0,4.0,13.0,17.0,4.0,2.0,3.0,14.0,3.0,10.0,22.0,7.0,4.0,1.0,2.0,10.0,5.0,2.0,5.0,6.0,9.0,8.0,4.0,41.0,20.0,2.0,0.0,3.0,30.0,13.0,9.0,10.0,18.0,20.0,6.0,18.0,18.0,13.0,4.0,17.0,9.0,8.0,38.0,34.0,35.0,45.0,18.0,22.0,18.0,15.0,9.0,2.0
ENV,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,8.0,10.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,5.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,6.0,8.0,0.0,7.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
ESC,5.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0
EUG,17.0,6.0,0.0,3.0,7.0,4.0,5.0,4.0,3.0,2.0,5.0,13.0,7.0,7.0,14.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,9.0,15.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,4.0,3.0,13.0,25.0,12.0,3.0,4.0,1.0,2.0,1.0,14.0,4.0,5.0,17.0
EVV,14.0,29.0,13.0,6.0,2.0,17.0,7.0,7.0,6.0,2.0,12.0,7.0,9.0,5.0,5.0,0.0,0.0,3.0,11.0,9.0,3.0,0.0,1.0,5.0,6.0,1.0,7.0,6.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,23.0,16.0,3.0,0.0,6.0,18.0,7.0,6.0,11.0,2.0,8.0,8.0,17.0,5.0,2.0,5.0,7.0,13.0,12.0,7.0,4.0,3.0,3.0,2.0
EWN,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,15.0,1.0,6.0,2.0,1.0,22.0,3.0,2.0,42.0,3.0,7.0,8.0,3.0,7.0,0.0,1.0,2.0,4.0,2.0,5.0,16.0,1.0,3.0,2.0
EWR,659.0,616.0,526.0,107.0,129.0,296.0,229.0,139.0,51.0,94.0,111.0,247.0,824.0,301.0,78.0,90.0,43.0,195.0,564.0,318.0,87.0,136.0,85.0,204.0,198.0,363.0,524.0,136.0,195.0,237.0,316.0,382.0,372.0,152.0,26.0,81.0,666.0,201.0,998.0,247.0,216.0,140.0,698.0,794.0,159.0,75.0,324.0,112.0,241.0,270.0,235.0,336.0,327.0,459.0,639.0,593.0,164.0,74.0,30.0,235.0
EYW,2.0,6.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,4.0,5.0,1.0,10.0,7.0,21.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,10.0,2.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0
FAI,1.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,4.0,1.0,2.0,1.0,5.0,3.0,1.0,6.0,0.0,7.0,3.0,5.0,7.0,4.0,1.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0
FAR,15.0,26.0,8.0,6.0,7.0,14.0,7.0,7.0,2.0,3.0,10.0,9.0,10.0,12.0,5.0,5.0,4.0,2.0,13.0,7.0,4.0,0.0,1.0,21.0,2.0,0.0,5.0,3.0,0.0,1.0,5.0,4.0,1.0,1.0,0.0,4.0,15.0,16.0,12.0,7.0,2.0,9.0,3.0,1.0,5.0,4.0,7.0,23.0,31.0,34.0,33.0,26.0,3.0,8.0,5.0,4.0,5.0,12.0,9.0,27.0
FAT,13.0,12.0,2.0,4.0,4.0,3.0,8.0,5.0,0.0,3.0,3.0,13.0,11.0,4.0,9.0,9.0,3.0,2.0,1.0,2.0,0.0,12.0,2.0,13.0,8.0,5.0,3.0,8.0,3.0,4.0,1.0,4.0,3.0,7.0,3.0,2.0,9.0,5.0,9.0,3.0,8.0,8.0,5.0,9.0,7.0,7.0,2.0,6.0,19.0,14.0,18.0,2.0,13.0,12.0,6.0,6.0,14.0,10.0,10.0,16.0
FAY,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,0.0,2.0,8.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,13.0,1.0,6.0,4.0,1.0,25.0,6.0,5.0,50.0,8.0,8.0,11.0,5.0,3.0,0.0,5.0,6.0,9.0,6.0,10.0,10.0,2.0,1.0,1.0
FCA,6.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,0.0
FLG,3.0,2.0,10.0,1.0,1.0,4.0,3.0,3.0,6.0,2.0,5.0,12.0,11.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,7.0,13.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8.0,4.0,16.0,3.0,2.0,5.0,2.0,0.0,0.0,1.0,1.0,9.0,12.0
FLL,141.0,207.0,124.0,27.0,34.0,82.0,29.0,54.0,20.0,43.0,27.0,49.0,231.0,82.0,27.0,50.0,16.0,37.0,98.0,58.0,10.0,299.0,10.0,81.0,308.0,118.0,166.0,109.0,122.0,182.0,99.0,112.0,1103.0,52.0,6.0,52.0,201.0,41.0,229.0,48.0,58.0,56.0,117.0,85.0,49.0,15.0,39.0,45.0,127.0,72.0,117.0,186.0,69.0,78.0,85.0,84.0,347.0,22.0,20.0,27.0
FLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
FNT,10.0,24.0,4.0,3.0,3.0,16.0,8.0,12.0,4.0,1.0,8.0,17.0,5.0,13.0,1.0,1.0,2.0,6.0,10.0,7.0,1.0,1.0,1.0,14.0,14.0,5.0,10.0,9.0,3.0,8.0,9.0,5.0,3.0,6.0,0.0,13.0,13.0,11.0,2.0,5.0,12.0,15.0,3.0,5.0,4.0,5.0,8.0,3.0,23.0,13.0,2.0,5.0,4.0,8.0,11.0,12.0,5.0,3.0,4.0,5.0
FSD,28.0,32.0,12.0,13.0,5.0,21.0,5.0,10.0,3.0,2.0,15.0,10.0,5.0,17.0,7.0,6.0,4.0,5.0,10.0,5.0,2.0,2.0,9.0,14.0,8.0,3.0,3.0,10.0,6.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,17.0,9.0,7.0,28.0,4.0,13.0,8.0,12.0,10.0,19.0,12.0,14.0,36.0,36.0,43.0,34.0,9.0,12.0,6.0,7.0,7.0,11.0,15.0,13.0
FSM,4.0,16.0,14.0,2.0,8.0,4.0,0.0,2.0,0.0,5.0,3.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,11.0,12.0,1.0,7.0,0.0,4.0,1.0,0.0
